 220033 116121  317.04730   41   16  350.33298  305.63473  12.8%  42.8  530s
 222180 117101  336.29385   47   13  350.33298  305.71238  12.7%  42.7  535s
 224010 117953  318.44745   46   16  350.33298  305.77235  12.7%  42.7  540s
 226291 119010  306.23759   37   15  350.33298  305.84801  12.7%  42.7  545s
 228269 119949  348.45425   53   15  350.33298  305.91557  12.7%  42.6  550s
 230536 121056  339.13801   48   16  350.33298  305.99027  12.7%  42.6  555s
 232691 122038  333.86475   57    9  350.33298  306.06722  12.6%  42.5  560s
 234590 122895  319.28752   38   17  350.33298  306.13163  12.6%  42.5  565s
 236762 123900  309.58893   44   29  350.33298  306.19852  12.6%  42.5  570s
 238934 124930  339.74888   47   17  350.33298  306.29035  12.6%  42.4  575s
 241137 125961  347.94624   55   10  350.33298  306.36754  12.5%  42.4  580s
 243136 126841  329.07644   48   16  350.33298  306.44165  12.5%  42.3  585s
 245197 127734  312.68066   34   18  350.33298  306.50908  12.5%  42.3  590s
 247293 128678  325.98885   47   12  350.33298  306.58293  12.5%  42.3  595s
 249165 129506     cutoff   57       350.33298  306.63496  12.5%  42.3  600s
 251364 130499  348.07016   53   13  350.33298  306.70924  12.5%  42.3  605s
 253394 131405  309.04298   38   17  350.33298  306.76181  12.4%  42.2  610s
 255592 132385  313.02609   42   15  350.33298  306.83723  12.4%  42.2  615s
 257842 133387  349.16798   53   12  350.33298  306.90589  12.4%  42.1  620s
 259731 134192  325.36150   40   14  350.33298  306.96636  12.4%  42.1  625s
 261846 135155  332.43830   43   18  350.33298  307.02625  12.4%  42.1  630s
 264058 136089  327.25284   42   16  350.33298  307.09872  12.3%  42.1  635s
 266179 137014  335.52772   43   13  350.33298  307.14783  12.3%  42.0  640s
 268300 137940  343.29026   59    9  350.33298  307.21449  12.3%  42.0  645s
 270218 138847  342.93169   45   14  350.33298  307.26623  12.3%  42.0  650s
 272482 139929  318.83294   41   12  350.33298  307.33203  12.3%  41.9  655s
 274512 140886  338.12300   47   16  350.33298  307.37942  12.3%  41.9  660s
 276691 141817  336.42356   53   10  350.33298  307.44108  12.2%  41.9  665s
 278638 142692     cutoff   56       350.33298  307.49176  12.2%  41.9  670s
 280901 143681  347.05228   53   12  350.33298  307.55887  12.2%  41.8  675s
 283048 144613  335.87308   52   16  350.33298  307.62985  12.2%  41.8  680s
 284889 145455  326.95785   60   10  350.33298  307.67889  12.2%  41.8  685s
 287165 146489  349.02163   46    9  350.33298  307.74129  12.2%  41.8  690s
 289335 147413  314.32936   36   13  350.33298  307.79927  12.1%  41.7  695s
 291445 148334  346.63854   57   13  350.33298  307.85626  12.1%  41.7  700s
 293672 149282  330.45437   42   12  350.33298  307.93325  12.1%  41.7  705s
 295763 150192  341.72662   46   14  350.33298  307.98824  12.1%  41.6  710s
 297816 151033  326.66207   45   14  350.33298  308.04984  12.1%  41.6  715s
 299827 151908  317.19047   42   15  350.33298  308.09991  12.1%  41.6  720s
 302104 152964  337.03629   49   15  350.33298  308.15356  12.0%  41.5  725s
 304029 153788  315.36089   44   20  350.33298  308.20513  12.0%  41.5  730s
 306307 154747  328.47995   44   16  350.33298  308.25580  12.0%  41.5  735s
 308643 155759     cutoff   57       350.33298  308.31146  12.0%  41.4  740s
 310911 156695  320.73795   42   20  350.33298  308.37305  12.0%  41.4  745s
 312984 157587     cutoff   48       350.33298  308.43009  12.0%  41.4  750s
 315034 158487  328.37770   47   18  350.33298  308.48092  11.9%  41.3  755s
 317373 159543  323.89980   41   18  350.33298  308.53839  11.9%  41.3  760s
 319247 160332  341.01107   45   14  350.33298  308.58197  11.9%  41.3  765s
 321549 161379  326.54476   43   13  350.33298  308.64133  11.9%  41.2  770s
 323807 162308  334.99201   43   20  350.33298  308.69802  11.9%  41.2  775s
 325947 163271  313.49733   48   14  350.33298  308.75424  11.9%  41.2  780s
 328126 164219  320.01452   41   16  350.33298  308.80347  11.9%  41.1  785s
 330158 165091     cutoff   38       350.33298  308.85247  11.8%  41.1  790s
 332374 166023  330.08965   50   19  350.33298  308.91582  11.8%  41.1  795s
 334496 166942  344.70173   42   12  350.33298  308.97265  11.8%  41.1  800s
 336755 167909  314.61228   38   14  350.33298  309.02368  11.8%  41.0  805s
 338863 168841  326.76059   44   15  350.33298  309.07112  11.8%  41.0  810s
 340899 169723  339.26471   41   13  350.33298  309.11575  11.8%  41.0  815s
 343263 170739  324.44802   43   15  350.33298  309.17750  11.7%  40.9  820s
 345380 171675  340.09140   45   11  350.33298  309.22655  11.7%  40.9  825s
 347638 172631  328.60823   53   11  350.33298  309.28025  11.7%  40.9  830s
 349687 173434  348.68015   48   15  350.33298  309.33854  11.7%  40.8  835s
 351869 174351  344.62627   43   20  350.33298  309.39581  11.7%  40.8  840s
 353996 175246  340.46039   51   12  350.33298  309.43880  11.7%  40.8  845s
 356141 176087  335.29552   44   10  350.33298  309.48884  11.7%  40.8  850s
 358472 177007  312.12188   41   14  350.33298  309.53638  11.6%  40.7  855s
 360291 177777  345.25481   55   14  350.33298  309.57210  11.6%  40.7  860s
 362489 178692  345.78085   55   14  350.33298  309.62110  11.6%  40.7  865s
 364639 179654  329.78048   44   13  350.33298  309.66542  11.6%  40.7  870s
 366661 180497  346.65853   58   12  350.33298  309.70598  11.6%  40.7  875s
 368846 181382  339.60899   54   16  350.33298  309.75676  11.6%  40.6  880s
 371079 182278  316.30981   41   16  350.33298  309.80635  11.6%  40.6  885s
 373240 183164  349.52967   53   18  350.33298  309.85528  11.6%  40.6  890s
 375280 183955  344.13834   55   14  350.33298  309.90472  11.5%  40.6  895s
 377494 184911  318.42214   50   15  350.33298  309.95499  11.5%  40.6  900s
 379758 185848  322.60973   40   17  350.33298  310.00250  11.5%  40.5  905s
 381967 186703     cutoff   50       350.33298  310.05198  11.5%  40.5  910s
 384281 187726  334.69793   52   15  350.33298  310.10392  11.5%  40.5  915s
 386351 188558  337.28524   48   17  350.33298  310.14445  11.5%  40.4  920s
 388773 189570  316.47594   38   15  350.33298  310.19234  11.5%  40.4  925s
 390987 190394     cutoff   50       350.33298  310.23879  11.4%  40.4  930s
 393241 191340  328.48460   44   11  350.33298  310.28051  11.4%  40.3  935s
 395287 192205     cutoff   37       350.33298  310.32392  11.4%  40.3  940s
 397574 193101     cutoff   39       350.33298  310.37029  11.4%  40.3  945s
 399835 194084  322.52164   46   16  350.33298  310.41395  11.4%  40.3  950s
 401875 194947  319.22970   48   16  350.33298  310.45557  11.4%  40.3  955s
 404216 195935     cutoff   44       350.33298  310.50570  11.4%  40.2  960s
 406417 196832  336.48693   48   17  350.33298  310.54648  11.4%  40.2  965s
 408613 197740  318.60765   39   18  350.33298  310.58789  11.3%  40.2  970s
 410555 198504  325.44104   48   18  350.33298  310.62667  11.3%  40.1  975s
 412941 199464  343.23134   45   11  350.33298  310.67954  11.3%  40.1  980s
 415213 200388  346.82066   40   17  350.33298  310.72319  11.3%  40.1  985s
 417283 201298  337.55205   50   14  350.33298  310.75950  11.3%  40.1  990s
 419481 202143  332.46597   41   15  350.33298  310.80508  11.3%  40.1  995s
 421293 202860  336.19983   56   16  350.33298  310.83831  11.3%  40.0 1000s
 423730 203859  314.23578   35   20  350.33298  310.88651  11.3%  40.0 1005s
 425844 204675  338.61720   57   14  350.33298  310.92793  11.2%  40.0 1010s
 428235 205571  340.76218   41   15  350.33298  310.97692  11.2%  40.0 1015s
 430482 206547  324.82438   44   16  350.33298  311.01171  11.2%  39.9 1020s
 432407 207248  334.08903   51   18  350.33298  311.05025  11.2%  39.9 1025s
 434657 208121  332.43205   40   11  350.33298  311.09324  11.2%  39.9 1030s
 436592 208916  322.59081   51   12  350.33298  311.12980  11.2%  39.9 1035s
 438911 209869     cutoff   51       350.33298  311.17436  11.2%  39.9 1040s
 441155 210741  343.29695   43   13  350.33298  311.21108  11.2%  39.8 1045s
 443554 211680  344.55521   57    7  350.33298  311.24979  11.2%  39.8 1050s
 445803 212605  323.66899   46   14  350.33298  311.29580  11.1%  39.8 1055s
 447990 213542  339.16877   50   15  350.33298  311.33052  11.1%  39.8 1060s
 450086 214342     cutoff   59       350.33298  311.37198  11.1%  39.8 1065s
 451959 215035  345.07049   45   14  350.33298  311.40353  11.1%  39.7 1070s
 454316 215994  330.94015   49   10  350.33298  311.44742  11.1%  39.7 1075s
 456377 216828  317.17471   45   19  350.33298  311.48411  11.1%  39.7 1080s
 458620 217753  345.92511   48   13  350.33298  311.52929  11.1%  39.7 1085s
 460922 218660  333.59411   46   18  350.33298  311.57055  11.1%  39.7 1090s
 462977 219468  334.21168   50   19  350.33298  311.60658  11.1%  39.6 1095s
 465372 220441  339.71999   52   15  350.33298  311.64731  11.0%  39.6 1100s
 467615 221305  317.80601   42   15  350.33298  311.68375  11.0%  39.6 1105s
 469983 222237  344.52683   60   14  350.33298  311.71899  11.0%  39.5 1110s
 472094 223088  337.98943   39   13  350.33298  311.75399  11.0%  39.5 1115s
 474551 224034  344.39374   54   16  350.33298  311.79569  11.0%  39.5 1120s
 476729 224926  349.10138   47    8  350.33298  311.83096  11.0%  39.5 1125s
 479041 225885  349.32349   46   12  350.33298  311.87046  11.0%  39.4 1130s
 481316 226782     cutoff   54       350.33298  311.90788  11.0%  39.4 1135s
 483194 227463  332.11432   43   17  350.33298  311.94426  11.0%  39.4 1140s
 485539 228307  342.03669   43   11  350.33298  311.97709  10.9%  39.4 1145s
 487722 229164  320.24289   43   16  350.33298  312.00672  10.9%  39.4 1150s
 489991 229957  322.95139   48   20  350.33298  312.03891  10.9%  39.3 1155s
 492166 230727  349.29407   58   13  350.33298  312.07833  10.9%  39.3 1160s
 494443 231563     cutoff   43       350.33298  312.11856  10.9%  39.3 1165s
 496663 232417  316.74303   42   18  350.33298  312.15336  10.9%  39.3 1170s
 498771 233241  329.88885   46   12  350.33298  312.19245  10.9%  39.3 1175s
 501085 234159  321.72953   47   17  350.33298  312.23515  10.9%  39.2 1180s
 503139 234948  336.66633   43    8  350.33298  312.26871  10.9%  39.2 1185s
 505442 235791     cutoff   52       350.33298  312.30524  10.9%  39.2 1190s
 507625 236592  345.96564   44   12  350.33298  312.34625  10.8%  39.2 1195s
 509868 237479  326.12382   51   16  350.33298  312.38089  10.8%  39.2 1200s
 512124 238365  314.70969   38   19  350.33298  312.42211  10.8%  39.1 1205s
 514452 239212  335.26545   43   16  350.33298  312.46084  10.8%  39.1 1210s
 516852 240094  338.85131   50    7  350.33298  312.49763  10.8%  39.1 1215s
 519131 240894  340.94868   49   15  350.33298  312.53824  10.8%  39.1 1220s
 521460 241807  331.00289   47   23  350.33298  312.57782  10.8%  39.0 1225s
 523694 242636  346.52258   61   11  350.33298  312.61618  10.8%  39.0 1230s
 526049 243493  347.96385   55   11  350.33298  312.65048  10.8%  39.0 1235s
 528010 244205  318.82416   42   15  350.33298  312.68190  10.7%  39.0 1240s
 530462 245137     cutoff   56       350.33298  312.71983  10.7%  39.0 1245s
 532854 245987  329.28063   35   17  350.33298  312.75597  10.7%  38.9 1250s
 535317 246908     cutoff   53       350.33298  312.79559  10.7%  38.9 1255s
 537396 247621  346.73269   46   15  350.33298  312.83230  10.7%  38.9 1260s
 539828 248566  343.07937   49   18  350.33298  312.86848  10.7%  38.8 1265s
 542241 249463  324.52348   42   11  350.33298  312.90731  10.7%  38.8 1270s
 544321 250179  339.63497   48   17  350.33298  312.93361  10.7%  38.8 1275s
 546637 251052  338.30237   45   15  350.33298  312.96717  10.7%  38.8 1280s
 548925 251948     cutoff   55       350.33298  313.00468  10.7%  38.8 1285s
 551399 252852  330.91078   43   13  350.33298  313.04253  10.6%  38.7 1290s
 553442 253671  342.94581   44   12  350.33298  313.07473  10.6%  38.7 1295s
 555769 254549  328.44661   50   13  350.33298  313.10988  10.6%  38.7 1300s
 557917 255294  320.10612   39    9  350.33298  313.14531  10.6%  38.7 1305s
 560349 256124  335.45156   40   11  350.33298  313.18300  10.6%  38.7 1310s
 562641 256944  323.38239   45   17  350.33298  313.21621  10.6%  38.7 1315s
 564950 257751  329.62467   51   14  350.33298  313.25141  10.6%  38.6 1320s
 567232 258616     cutoff   46       350.33298  313.28574  10.6%  38.6 1325s
 569098 259359  349.17452   55   16  350.33298  313.30963  10.6%  38.6 1330s
 571394 260225  316.42558   37   17  350.33298  313.34231  10.6%  38.6 1335s
 573738 261107  349.71560   52   15  350.33298  313.37604  10.5%  38.6 1340s
 576040 261950     cutoff   59       350.33298  313.41205  10.5%  38.6 1345s
 578387 262798  330.27786   46   17  350.33298  313.44494  10.5%  38.5 1350s
 580484 263540  328.70642   48   20  350.33298  313.47758  10.5%  38.5 1355s
 582602 264323  349.61473   57   12  350.33298  313.50651  10.5%  38.5 1360s
 585020 265268  347.08430   52   13  350.33298  313.54295  10.5%  38.5 1365s
 587233 266094  332.72956   46   12  350.33298  313.57174  10.5%  38.5 1370s
 589426 266894  317.16766   37   14  350.33298  313.60738  10.5%  38.4 1375s
 591666 267675  314.10907   45   17  350.33298  313.64194  10.5%  38.4 1380s
 593879 268469  335.92355   42   16  350.33298  313.66857  10.5%  38.4 1385s
 596299 269350     cutoff   48       350.33298  313.70360  10.5%  38.4 1390s
 598452 270132  343.84298   47   11  350.33298  313.73132  10.4%  38.4 1395s
 600802 270925     cutoff   55       350.33298  313.76328  10.4%  38.4 1400s
 602999 271709  342.49492   45   20  350.33298  313.79039  10.4%  38.3 1405s
 605303 272577  345.77477   52   14  350.33298  313.82568  10.4%  38.3 1410s
 607718 273422  336.57595   52   12  350.33298  313.85683  10.4%  38.3 1415s
 609750 274146  347.95467   54   15  350.33298  313.88064  10.4%  38.3 1420s
 612068 275007  346.47584   48    8  350.33298  313.91244  10.4%  38.3 1425s
 614306 275840  343.82322   51   11  350.33298  313.94170  10.4%  38.2 1430s
 616681 276669  318.79051   48   16  350.33298  313.97320  10.4%  38.2 1435s
 618769 277370     cutoff   49       350.33298  314.00368  10.4%  38.2 1440s
 621198 278270  329.71219   49   15  350.33298  314.03202  10.4%  38.2 1445s
 623500 279132  334.86722   41   16  350.33298  314.06260  10.4%  38.2 1450s
 625679 279867  338.91801   50   12  350.33298  314.08993  10.3%  38.2 1455s
 628069 280796  338.95793   36   19  350.33298  314.12073  10.3%  38.1 1460s
 630183 281497  337.02558   47   20  350.33298  314.14970  10.3%  38.1 1465s
 632512 282364  349.65350   63   10  350.33298  314.18778  10.3%  38.1 1470s
 634695 283187  324.69402   39   16  350.33298  314.21670  10.3%  38.1 1475s
 637133 284050  336.08199   40   15  350.33298  314.25888  10.3%  38.1 1480s
 639338 284792     cutoff   55       350.33298  314.28591  10.3%  38.0 1485s
 641814 285719  320.06426   41   20  350.33298  314.31487  10.3%  38.0 1490s
 644221 286565  341.02530   45   13  350.33298  314.34139  10.3%  38.0 1495s
 646351 287322  342.04099   50   16  350.33298  314.37148  10.3%  38.0 1500s
 648546 288143  334.39064   46   10  350.33298  314.39938  10.3%  38.0 1505s
 650751 288925  331.48776   46    8  350.33298  314.42491  10.2%  38.0 1510s
 653174 289823  340.45095   50   17  350.33298  314.45965  10.2%  37.9 1515s
 655486 290640  346.59091   40    9  350.33298  314.48405  10.2%  37.9 1520s
 657846 291489  332.52287   49   17  350.33298  314.51311  10.2%  37.9 1525s
 660149 292259  317.12294   39   16  350.33298  314.53893  10.2%  37.9 1530s
 662454 293066     cutoff   52       350.33298  314.56715  10.2%  37.9 1535s
 664714 293826  347.87205   52   16  350.33298  314.59625  10.2%  37.9 1540s
 666899 294621  338.94964   53   11  350.33298  314.62332  10.2%  37.9 1545s
 669142 295424  331.35920   44   11  350.33298  314.65018  10.2%  37.8 1550s
 671424 296219  333.44129   49   18  350.33298  314.67902  10.2%  37.8 1555s
 673781 297050  335.58281   47   12  350.33298  314.71195  10.2%  37.8 1560s
 676061 297845  345.66958   49   16  350.33298  314.74206  10.2%  37.8 1565s
 678341 298616     cutoff   50       350.33298  314.77205  10.2%  37.8 1570s
 680377 299255  348.01225   55   18  350.33298  314.79772  10.1%  37.8 1575s
 682874 300088  323.02225   47   14  350.33298  314.83051  10.1%  37.7 1580s
 685070 300858  338.40442   48   14  350.33298  314.85315  10.1%  37.7 1585s
 687618 301749  324.76668   37   15  350.33298  314.87987  10.1%  37.7 1590s
 689958 302562  338.36664   49   11  350.33298  314.90802  10.1%  37.7 1595s
 692075 303331  331.25322   46   23  350.33298  314.93364  10.1%  37.7 1600s
