50.1,779.75_{3},53.22 %,1194.75,52.13 %,1186.25,53.03 %,1193.25,958.29_{1},64.72 %,1578.50,63.78 %,1569.50,63.29 %,1564.75
50.2,669.00_{2},42.97 %,956.50,42.30 %,952.00,43.20 %,958.00,1120.00_{2},89.33 %,2120.50,77.90 %,1992.50,77.50 %,1988.00
50.3,321.67_{2},32.33 %,425.67,32.95 %,427.67,32.23 %,425.33,1029.00_{2},81.57 %,1868.33,85.33 %,1907.00,83.38 %,1887.00
100.1,1279.39_{1},64.77 %,2108.00,61.33 %,2064.00,61.89 %,2071.25,1721.85_{1},75.42 %,3020.50,72.66 %,2973.00,72.33 %,2967.25
100.2,968.67_{1},83.24 %,1775.00,78.08 %,1725.00,80.14 %,1745.00,1839.87_{1},123.89 %,4119.33,113.77 %,3933.00,112.30 %,3906.00
100.3,444.15_{1},72.39 %,765.67,65.86 %,736.67,69.01 %,750.67,1446.00_{1},106.24 %,2982.25,108.58 %,3016.00,143.26 %,3517.50
200.1,1008.00_{2},--,--,281.25 %,3843.00,283.23 %,3863.00,2726.17_{1},132.84 %,6347.50,107.48 %,5656.25,164.30 %,7205.25
200.2,1226.20_{1},150.94 %,3077.00,145.05 %,3004.75,721.89 %,10078.00,3824.50_{2},171.72 %,10392.00,99.97 %,7648.00,166.13 %,10178.00
200.3,522.24_{1},162.62 %,1371.50,152.47 %,1318.50,163.67 %,1377.00,2499.50_{2},132.74 %,5817.25,275.28 %,9380.00,241.09 %,8525.50
300.1,41.74_{12},20513.88 %,8605.00,--,--,13260.10 %,5577.00,786.67_{3},--,--,--,--,977.33 %,8474.99
300.2,221.00_{2},--,--,1914.48 %,4452.00,7421.27 %,16622.00,2903.04_{12},401.62 %,14562.32,--,--,491.79 %,17179.98
300.3,371.17_{1},386.16 %,1804.50,404.55 %,1872.75,4480.62 %,17002.00,2381.23_{12},550.99 %,15501.50,--,--,543.47 %,15322.50
400.1,40.47_{12},16870.96 %,6867.75,--,--,49547.04 %,20091.00,--,--,--,--,--,--,21561.00
400.2,--,--,--,--,--,--,19732.00,49.56_{12},31873.53 %,15847.32,--,--,39775.79 %,19763.98
400.3,14.56_{12},137625.14 %,20048.50,--,--,137882.75 %,20086.00,--,--,--,--,--,--,20226.98
500.1,--,--,--,--,--,--,25170.00,--,--,--,--,--,--,24474.64
500.2,--,--,--,--,--,--,24965.31,--,--,--,--,--,--,24940.00
500.3,--,--,--,--,--,--,23626.50,--,--,--,--,--,--,24746.98
600.1,--,--,30198.00,--,--,--,30276.00,--,--,--,--,--,--,30654.00
600.2,--,--,--,--,--,--,31805.00,--,--,30084.50,--,--,--,30175.00
600.3,--,--,--,--,--,--,30253.00,--,--,--,--,--,--,29997.00
700.1,--,--,--,--,--,--,35860.00,--,--,--,--,--,--,36172.00
700.2,--,--,--,--,--,--,35139.00,--,--,34477.75,--,--,--,35499.00
700.3,--,--,--,--,--,--,34543.97,--,--,35000.50,--,--,--,35372.00
