Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
600.1,23912.00,100.00 %,1.78,24.36,10809.50,-54.79,1.77,22.95,10809.50,-54.79,27431.00,100.00 %,17.32,23.41,11171.10,-59.28,21.33,23.57,11163.10,-59.30
600.2,18379.00,100.00 %,18.04,23.18,6765.75,-63.19,20.94,23.23,6756.75,-63.24,21245.00,100.00 %,18.52,23.79,9015.35,-57.56,22.11,23.38,8998.19,-57.65
600.3,9822.02,100.00 %,8.13,24.32,3068.17,-68.76,2.23,22.81,3068.17,-68.76,13645.00,100.00 %,7.09,24.18,3077.00,-77.45,21.45,23.29,3065.88,-77.53
700.1,36152.00,100.00 %,13.86,29.01,9433.50,-73.91,27.03,30.57,9407.75,-73.98,—,—,25.50,28.12,12425.20,—,28.01,30.59,12438.50,—
700.2,—,—,2.39,29.97,9456.69,—,2.41,29.59,9456.69,—,—,—,17.58,29.53,10154.10,—,28.44,30.38,10146.40,—
700.3,34334.00,100.00 %,4.89,29.89,3246.75,-90.54,27.38,30.12,3239.75,-90.56,—,—,2.41,30.00,3523.88,—,27.91,30.29,3512.38,—
800.1,—,—,15.60,34.95,12637.00,—,37.17,38.07,12615.10,—,—,—,24.24,33.91,14113.20,—,36.28,38.39,14100.20,—
800.2,—,—,3.10,35.55,9780.12,—,34.55,37.91,9770.75,—,—,—,27.68,32.74,9961.50,—,36.48,38.23,9941.75,—
800.3,—,—,3.12,35.47,3720.62,—,34.27,37.82,3710.00,—,—,—,29.66,34.09,3671.75,—,34.36,37.85,3661.25,—
900.1,—,—,16.51,41.52,15565.90,—,4.82,46.55,15565.90,—,—,—,32.54,40.45,15528.60,—,44.99,47.38,15521.80,—
900.2,—,—,3.95,41.55,11798.50,—,3.94,46.59,11798.50,—,—,—,28.43,39.83,11742.60,—,43.44,47.63,11718.10,—
900.3,—,—,17.23,41.57,4273.68,—,4.84,46.47,4273.68,—,—,—,26.91,40.81,4340.00,—,44.72,47.09,4315.50,—
1000.1,—,—,21.32,45.22,12182.50,—,48.45,56.31,12154.50,—,—,—,41.32,41.94,20291.50,—,55.64,56.50,20050.00,—
1000.2,—,—,27.41,45.55,10158.20,—,53.36,56.26,10134.20,—,—,—,36.93,44.36,12946.00,—,54.22,55.94,12908.20,—
1000.3,—,—,18.95,46.80,4643.76,—,5.95,55.47,4643.68,—,—,—,39.58,44.00,4422.75,—,53.73,56.08,4396.00,—
