Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
45.3,167.60,60.14 %,0.04,1.20,167.60,0.00,0.15,0.57,167.40,-0.12,2068.80,65.06 %,1.09,1.25,2080.10,0.55,0.52,0.61,2078.50,0.47
50.1,1344.20,44.83 %,0.30,1.32,1301.90,-3.15,0.51,0.64,1287.40,-4.23,1291.80,64.22 %,0.60,1.34,1143.60,-11.47,0.52,0.65,1139.50,-11.79
50.2,325.00,54.15 %,0.18,1.29,328.60,1.11,0.51,0.62,324.10,-0.28,1985.80,64.10 %,0.71,1.33,1944.60,-2.07,0.54,0.66,1942.30,-2.19
50.3,228.70,51.81 %,0.18,1.30,229.45,0.33,0.49,0.64,228.55,-0.07,2341.70,62.04 %,1.23,1.35,2345.95,0.18,0.43,0.66,2334.65,-0.30
100.1,2478.20,54.26 %,1.33,3.07,2346.80,-5.30,1.29,1.68,2312.30,-6.69,3282.60,67.76 %,1.37,3.05,2954.60,-9.99,1.33,1.65,2935.10,-10.59
100.2,621.20,60.91 %,1.32,3.03,549.30,-11.57,1.48,1.62,537.30,-13.51,4134.70,64.21 %,2.83,3.04,4091.45,-1.05,1.53,1.69,4031.80,-2.49
100.3,310.90,55.23 %,0.76,3.04,292.60,-5.89,1.29,1.58,287.15,-7.64,4726.40,59.73 %,2.80,3.05,4784.60,1.23,1.31,1.72,4758.20,0.67
200.1,10580.00,95.47 %,3.99,7.00,1447.90,-86.31,3.73,3.99,1418.70,-86.59,6520.40,60.45 %,4.33,6.96,6369.70,-2.31,3.63,4.07,6324.00,-3.01
200.2,10070.00,92.91 %,4.35,6.88,1682.60,-83.29,3.58,3.89,1667.60,-83.44,10508.00,88.38 %,5.44,6.90,4262.80,-59.43,3.77,4.02,4210.15,-59.93
200.3,1053.50,55.15 %,1.59,7.05,935.90,-11.16,3.52,3.89,931.75,-11.56,9535.00,70.24 %,6.41,6.94,9349.20,-1.95,3.10,4.21,9296.40,-2.50
300.1,17582.00,99.81 %,7.11,10.86,5607.85,-68.10,5.68,6.99,5547.35,-68.45,17425.00,96.37 %,7.85,10.86,3204.80,-81.61,6.73,7.11,3185.00,-81.72
300.2,17265.00,99.93 %,7.62,10.72,1875.85,-89.13,6.38,6.97,1862.95,-89.21,12432.20,89.38 %,9.38,10.89,11535.50,-7.21,5.98,7.11,11256.30,-9.46
300.3,16798.00,99.89 %,5.03,10.89,1307.25,-92.22,5.97,6.86,1298.85,-92.27,16947.00,93.89 %,5.71,10.98,5465.60,-67.75,6.25,6.95,5448.60,-67.85
400.1,20988.00,—,13.49,14.90,4494.60,-78.58,10.70,11.52,4481.40,-78.65,20658.00,—,11.74,14.95,7585.40,-63.28,10.75,11.78,7483.70,-63.77
400.2,20215.00,—,9.95,15.08,1648.10,-91.85,10.68,11.70,1631.00,-91.93,20195.00,—,12.32,14.95,5700.80,-71.77,11.41,11.75,5597.20,-72.28
400.3,19998.00,—,4.96,15.27,1676.00,-91.62,10.01,11.38,1662.05,-91.69,20045.00,—,13.42,15.17,18697.30,-6.72,8.93,12.26,18702.10,-6.70
500.1,24797.00,—,17.20,19.11,4290.20,-82.70,16.65,17.56,4262.90,-82.81,24833.60,—,17.30,18.88,5276.80,-78.75,16.71,17.75,5005.30,-79.84
500.2,24543.00,—,16.97,18.72,2884.80,-88.25,16.58,17.55,2873.05,-88.29,24685.20,—,18.19,18.75,21085.10,-14.58,15.46,18.01,19694.20,-20.22
500.3,24150.60,—,14.64,19.31,642.80,-97.34,15.87,17.22,625.70,-97.41,24748.80,—,17.85,19.07,23696.80,-4.25,10.87,18.38,23593.70,-4.67
600.1,30949.00,—,18.30,23.00,9748.30,-68.50,21.59,23.73,9720.40,-68.59,31096.00,—,19.28,23.06,8574.85,-72.42,22.19,24.19,8369.20,-73.09
600.2,30972.00,—,9.86,23.71,7602.40,-75.45,20.33,23.67,7585.00,-75.51,31256.00,—,22.09,22.84,15941.70,-49.00,23.55,24.23,15865.80,-49.24
600.3,29438.00,—,21.57,23.27,735.40,-97.50,22.57,23.68,715.60,-97.57,30596.00,—,21.51,23.12,28419.30,-7.11,14.70,24.89,28384.30,-7.23
700.1,36152.00,—,26.93,27.57,12678.30,-64.93,28.78,30.74,12571.30,-65.23,35871.00,—,25.35,28.61,19574.80,-45.43,27.61,30.95,19562.20,-45.47
700.2,35912.00,—,24.51,28.17,6815.30,-81.02,28.25,30.49,6805.20,-81.05,35411.00,—,26.73,28.20,18390.00,-48.07,30.00,31.20,18341.30,-48.20
700.3,34334.00,—,22.02,29.31,812.90,-97.63,28.28,30.51,793.50,-97.69,35954.00,—,24.37,29.01,12573.60,-65.03,27.47,30.93,12555.40,-65.08
800.1,—,—,25.21,33.73,12739.80,—,33.30,38.48,12584.40,—,—,—,31.00,33.14,23224.90,—,37.16,39.24,23057.70,—
800.2,—,—,29.62,32.97,8769.65,—,37.07,38.51,8725.65,—,—,—,30.81,33.43,10796.90,—,37.15,39.06,10771.70,—
800.3,—,—,16.36,34.73,3368.90,—,35.22,38.22,3358.50,—,—,—,27.25,33.98,21525.40,—,35.19,38.89,21467.00,—
900.1,—,—,35.20,38.29,7240.60,—,44.74,48.19,7051.75,—,—,—,36.56,38.27,26237.90,—,46.92,48.62,25761.10,—
900.2,—,—,27.42,39.92,8581.90,—,43.66,47.74,8485.40,—,—,—,35.56,38.30,23538.60,—,47.76,48.59,23492.60,—
900.3,—,—,32.12,39.85,1000.60,—,45.42,47.69,985.00,—,—,—,30.76,40.08,16117.80,—,44.47,48.27,16102.90,—
1000.1,—,—,38.30,43.24,13597.30,—,53.52,56.82,13389.80,—,—,—,40.39,42.96,17852.40,—,55.04,57.67,17385.90,—
1000.2,—,—,35.78,43.80,10594.60,—,49.94,56.89,10552.20,—,—,—,37.33,43.97,37074.70,—,51.23,57.37,36816.00,—
1000.3,—,—,37.16,44.04,1616.10,—,55.54,56.69,1602.80,—,—,—,41.78,43.95,47333.40,—,45.76,58.86,47256.20,—
