Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
300.2,13993.00,98.50 %,6.63,10.86,5013.50,-64.17,6.31,6.90,5008.50,-64.21,17837.00,91.65 %,8.52,10.77,10648.80,-40.30,6.32,7.04,10558.50,-40.81
300.3,16798.00,99.98 %,0.42,11.00,1767.76,-89.48,6.05,6.74,1763.84,-89.50,16947.00,95.25 %,1.48,10.95,6372.77,-62.40,6.08,6.75,6368.93,-62.42
400.1,20988.00,—,11.71,15.07,8575.75,-59.14,10.11,11.53,8579.75,-59.12,13035.30,99.94 %,9.11,15.25,11554.80,-11.36,9.93,11.49,11545.80,-11.43
400.2,7032.99,99.92 %,0.75,15.39,6173.42,-12.22,8.52,11.25,6172.07,-12.24,20195.00,99.96 %,3.52,15.39,10722.80,-46.90,10.47,11.30,10716.40,-46.94
400.3,19998.00,99.99 %,0.75,15.47,2246.36,-88.77,9.25,11.12,2245.36,-88.77,20045.00,99.96 %,0.76,15.42,7578.99,-62.19,9.68,11.27,7575.78,-62.21
500.1,24895.00,—,8.85,19.66,10281.60,-58.70,15.39,17.05,10279.00,-58.71,25116.10,—,16.03,19.23,14749.40,-41.28,16.66,17.31,14737.10,-41.32
500.2,24970.00,—,13.13,19.49,7659.52,-69.33,16.03,17.19,7643.52,-69.39,24670.50,—,14.50,19.41,17404.60,-29.45,15.11,17.38,17302.90,-29.86
500.3,24377.00,—,13.20,19.22,2825.00,-88.41,15.09,17.16,2806.50,-88.49,24792.00,—,18.40,18.89,24412.80,-1.53,14.34,18.23,23973.20,-3.30
600.1,30949.10,—,10.59,23.93,12056.90,-61.04,22.27,23.54,12035.10,-61.11,31096.00,—,21.88,22.83,18708.00,-39.84,22.76,24.47,18534.50,-40.40
600.2,30972.00,—,1.78,24.36,8956.63,-71.08,18.82,23.27,8954.63,-71.09,31256.00,—,21.50,23.07,20900.80,-33.13,22.28,23.94,20763.50,-33.57
600.3,29438.00,—,1.79,24.32,3161.71,-89.26,11.81,23.13,3160.36,-89.26,30596.00,—,20.05,23.72,17159.50,-43.92,22.72,23.72,17127.90,-44.02
700.1,—,—,13.68,29.58,14019.60,—,28.04,30.46,14008.10,—,35871.00,—,26.08,27.88,21301.10,-40.62,29.79,31.29,21108.50,-41.15
700.2,35912.00,—,24.28,28.19,10331.00,-71.23,28.45,30.61,10297.80,-71.32,35411.00,—,2.39,29.85,18124.40,-48.82,25.14,30.33,18117.50,-48.84
700.3,34334.00,—,2.39,30.09,3570.64,-89.60,23.15,29.93,3568.43,-89.61,35954.10,—,2.40,29.90,14508.00,-59.65,28.15,30.33,14501.40,-59.67
800.1,—,—,29.35,33.61,15828.00,—,33.77,38.34,15830.50,—,—,—,18.76,34.62,22981.10,—,35.61,38.42,22965.50,—
800.2,—,—,3.10,35.61,11378.60,—,34.14,37.82,11375.90,—,—,—,32.73,33.84,22202.00,—,36.35,38.10,22166.00,—
800.3,—,—,3.12,35.63,4091.28,—,31.23,37.73,4089.14,—,—,—,30.47,34.47,22740.00,—,35.73,38.16,22713.10,—
900.1,—,—,32.87,38.50,17545.50,—,45.81,47.66,17544.00,—,—,—,36.88,38.06,27615.80,—,45.75,48.92,27254.00,—
900.2,—,—,3.94,41.71,12615.60,—,39.75,47.21,12613.10,—,—,—,35.98,38.48,30806.40,—,45.88,47.90,30568.60,—
900.3,—,—,22.99,40.16,4523.00,—,39.43,47.63,4511.75,—,—,—,3.98,41.46,18513.30,—,44.10,47.18,18497.60,—
1000.1,—,—,4.87,46.80,18653.50,—,52.84,56.42,18633.90,—,—,—,40.83,42.30,30074.00,—,55.56,57.55,29795.80,—
1000.2,—,—,4.87,47.05,13843.10,—,48.03,56.09,13840.30,—,—,—,40.80,42.76,34223.60,—,54.23,56.89,33947.00,—
1000.3,—,—,36.05,43.88,4949.75,—,52.87,56.31,4934.25,—,—,—,35.18,45.66,28311.00,—,52.69,56.60,28277.60,—
