  4640  4348   67.00000  187  102  962.00000    6.60606  99.3%   650 1503s
  4641  4349   81.43434  187   99  962.00000    6.60606  99.3%   653 1510s
  4643  4350   71.71639  188  102  962.00000    6.60606  99.3%   656 1519s
  4644  4351   67.60550  189  101  962.00000    6.60606  99.3%   657 1522s
  4649  4350   74.96476  191  101  962.00000    6.60606  99.3%   661 1532s
  4651  4351   78.47854  192  103  962.00000    6.60606  99.3%   666 1544s
  4652  4352   68.08586  193  100  962.00000    6.60606  99.3%   667 1547s
  4653  4353   76.10813  193  101  962.00000    6.60606  99.3%   671 1556s
  4656  4352   68.73769  195   99  962.00000    6.60606  99.3%   673 1561s
  4657  4351   83.32756  195  100  962.00000    6.60606  99.3%   677 1570s
  4660  4352   75.50138  197  100  962.00000    6.60606  99.3%   681 1581s
  4665  4352   76.89010  200   99  962.00000    6.60606  99.3%   684 1591s
  4666  4352   70.36406  201  101  962.00000    6.60606  99.3%   685 1596s
  4667  4352   80.46955  201  101  962.00000    6.60606  99.3%   689 1604s
  4671  4352   71.00000  204   98  962.00000    6.60606  99.3%   688 1605s
  4672  4352   81.12687  204  102  962.00000    6.60606  99.3%   692 1615s
  4673  4353   71.00393  205  100  962.00000    6.60606  99.3%   694 1620s
  4674  4353   84.65292  205  101  962.00000    6.60606  99.3%   700 1634s
  4676  4352 infeasible  206       962.00000    6.60606  99.3%   700 1635s
  4678  4352   88.59659  207  100  962.00000    6.60606  99.3%   706 1650s
  4682  4352   78.56970  209  100  962.00000    6.60606  99.3%   708 1656s
  4684  4353   82.92746  210  100  962.00000    6.60606  99.3%   712 1666s
  4686  4355   90.45938  211  100  962.00000    6.60606  99.3%   716 1674s
  4689  4354   72.82239  213   99  962.00000    6.60606  99.3%   717 1678s
  4690  4354   80.01010  213   99  962.00000    6.60606  99.3%   723 1694s
  4693  4356   79.17466  215  101  962.00000    6.60606  99.3%   725 1699s
  4694  4357   73.00000  216   99  962.00000    6.60606  99.3%   726 1702s
  4695  4358   93.25474  216  100  962.00000    6.60606  99.3%   729 1710s
  4697  4358   80.25320  217  101  962.00000    6.60606  99.3%   736 1725s
  4701  4360   87.23569  220   99  962.00000    6.60606  99.3%   741 1739s
  4702  4360   74.00000  221  101  962.00000    6.60606  99.3%   741 1740s
  4704  4362   74.62290  222  100  962.00000    6.60606  99.3%   744 1747s
  4705  4361   83.28571  222  100  962.00000    6.60606  99.3%   746 1752s
  4709  4361   75.31025  225  100  962.00000    6.60606  99.3%   747 1756s
  4710  4361   85.95960  225   99  962.00000    6.60606  99.3%   750 1764s
  4714  4360   76.00000  228   99  962.00000    6.60606  99.3%   750 1765s
  4715  4360   83.62065  228  101  962.00000    6.60606  99.3%   756 1781s
  4717  4361   87.36111  229   99  962.00000    6.60606  99.3%   762 1795s
  4723  4361   92.80400  232   99  962.00000    6.60606  99.3%   767 1809s
  4724  4362   77.00000  233   99  962.00000    6.60606  99.3%   767 1810s
  4725  4362   95.69724  233  100  962.00000    6.60606  99.3%   770 1817s
  4727  4363   84.29299  234  102  962.00000    6.60606  99.3%   774 1828s
  4728  4364   77.11472  235  100  962.00000    6.60606  99.3%   777 1836s
  4729  4363   84.62256  235  101  962.00000    6.60606  99.3%   780 1843s
  4732  4363   77.62443  237   99  962.00000    6.60606  99.3%   781 1846s
  4733  4364   97.83139  237  101  962.00000    6.60606  99.3%   786 1859s
  4737  4364   92.32312  239  101  962.00000    6.60606  99.3%   789 1868s
  4738  4364   78.02929  240   99  962.00000    6.60606  99.3%   790 1871s
  4739  4365   87.00000  240   99  962.00000    6.60606  99.3%   795 1880s
  4745  4365   85.34377  243  101  962.00000    6.60606  99.3%   797 1888s
  4746  4366   79.00000  244   99  962.00000    6.60606  99.3%   798 1891s
  4747  4366   86.62592  244  101  962.00000    6.60606  99.3%   801 1899s
  4748  4366   79.27609  245  101  962.00000    6.60606  99.3%   802 1901s
  4749  4367   91.00000  245   97  962.00000    6.60606  99.3%   805 1907s
  4753  4368   87.69697  248  100  962.00000    6.60606  99.3%   809 1921s
  4755  4370   96.00000  249   98  962.00000    6.60606  99.3%   813 1933s
  4756  4370   80.00000  250   99  962.00000    6.60606  99.3%   814 1936s
  4757  4371   94.22541  250  100  962.00000    6.60606  99.3%   817 1944s
  4758  4371   80.34411  251  100  962.00000    6.60606  99.3%   818 1946s
  4759  4371   91.00000  251   97  962.00000    6.60606  99.3%   821 1953s
  4763  4373   93.78201  254   99  962.00000    6.60606  99.3%   825 1965s
  4765  4374   87.06029  255  102  962.00000    6.60606  99.3%   828 1972s
  4767  4375   89.40067  256  101  962.00000    6.60606  99.3%   832 1980s
  4768  4375   81.06162  257  100  962.00000    6.60606  99.3%   833 1985s
  4769  4376   95.00000  257   97  962.00000    6.60606  99.3%   838 1995s
  4775  4376  100.00000  260   97  962.00000    6.60606  99.3%   843 2012s
  4777  4376   96.54705  261  101  962.00000    6.60606  99.3%   847 2021s
  4779  4378  106.04242  262   99  962.00000    6.60606  99.3%   850 2031s
  4781  4379   98.59433  263  101  962.00000    6.60606  99.3%   854 2040s
  4783  4379   98.39004  264  101  962.00000    6.60606  99.3%   858 2050s
  4785  4381  101.26538  265  102  962.00000    6.60606  99.3%   863 2064s
  4786  4380   83.64801  266  102  962.00000    6.60606  99.3%   865 2068s
  4787  4381   85.28278  266  101  962.00000    6.60606  99.3%   867 2073s
  4790  4381   84.31145  269  102  962.00000    6.60606  99.3%   868 2077s
  4791  4382   93.00000  269   96  962.00000    6.60606  99.3%   871 2086s
  4795  4383   96.00000  272   97  962.00000    6.60606  99.3%   874 2095s
  4797  4383   90.95960  273  100  962.00000    6.60606  99.3%   879 2106s
  4802  4384  115.00000  276   97  962.00000    6.60606  99.3%   881 2110s
  4804  4385  106.85957  277  100  962.00000    6.60606  99.3%   883 2119s
  4805  4386   86.52093  278  102  962.00000    6.60606  99.3%   884 2122s
  4810  4385  112.30808  280   99  962.00000    6.60606  99.3%   887 2130s
