Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
10.3,1.8E+03,1.40s,143.67,1.4E+03,1.77s ,143.67,1.3E+03,2.12s ,143.67,1.6E+06,15.34 %,357.67,2.2E+06,5.50 %,357.67,1.9E+06,8.39 %,357.67
15.1,5.8E+05,21.36 %,438.25,2.3E+06,21.62 %,438.25,5.8E+05,20.99 %,438.25,9.7E+05,27.09 %,536.00,1.1E+06,30.86 %,529.00,7.8E+05,30.04 %,529.25
15.2,1.2E+06,8.93 %,367.00,7.9E+05,5.99 %,367.00,1.3E+06,4.63 %,367.00,7.8E+05,36.64 %,605.00,5.7E+05,30.47 %,600.50,6.7E+05,30.90 %,597.00
15.3,6.8E+05,1720.71s ,250.00,1.7E+06,2612.92s ,250.00,1.9E+06,2904.46s ,250.00,1.0E+06,32.13 %,554.33,2.2E+06,30.63 %,554.00,7.0E+05,31.35 %,554.00
20.1,7.1E+05,20.97 %,497.00,9.7E+05,25.42 %,491.75,4.1E+05,24.32 %,490.25,5.3E+05,31.06 %,643.50,1.1E+06,33.37 %,642.00,1.0E+06,34.37 %,649.50
20.2,3.4E+05,20.99 %,435.00,3.4E+05,19.28 %,433.00,3.6E+05,18.62 %,435.00,3.4E+05,42.26 %,822.50,3.9E+05,37.96 %,814.00,5.1E+05,38.41 %,821.50
20.3,7.3E+05,12.06 %,252.33,4.6E+05,14.00 %,252.33,1.0E+06,14.40 %,252.33,5.2E+05,36.80 %,746.67,1.3E+06,36.11 %,744.00,2.3E+05,34.19 %,743.00
25.1,3.6E+05,26.04 %,630.25,4.8E+05,31.22 %,633.50,6.2E+05,28.08 %,630.25,2.7E+05,33.97 %,820.50,3.0E+05,32.60 %,817.50,3.0E+05,32.10 %,811.50
25.2,2.6E+05,27.05 %,560.50,2.4E+05,24.12 %,555.50,2.8E+05,24.82 %,556.00,1.9E+05,44.17 %,1024.67,1.5E+05,41.03 %,1025.33,7.1E+05,42.65 %,1020.00
25.3,6.8E+05,15.98 %,251.25,6.6E+05,9.95 %,251.25,4.9E+05,11.34 %,251.25,3.4E+05,34.27 %,761.50,2.9E+05,36.34 %,761.50,2.6E+05,35.61 %,762.50
30.1,1.8E+05,31.75 %,784.00,2.0E+05,29.15 %,773.50,1.8E+05,28.83 %,770.00,1.5E+05,38.22 %,1022.00,2.1E+05,38.05 %,1025.00,1.4E+05,35.79 %,997.50
30.2,1.5E+05,34.70 %,644.67,2.0E+05,29.04 %,646.33,1.3E+05,29.09 %,644.00,1.8E+05,45.14 %,1185.00,1.6E+05,40.99 %,1189.67,1.4E+05,42.16 %,1205.67
30.3,4.1E+05,20.64 %,279.00,2.7E+05,16.49 %,279.00,2.7E+05,16.58 %,279.00,1.9E+05,35.07 %,899.25,1.3E+05,37.83 %,899.50,9.5E+04,37.75 %,896.75
35.1,1.5E+05,33.41 %,887.00,1.3E+05,28.85 %,870.00,1.1E+05,29.45 %,871.00,1.0E+05,36.39 %,1117.50,6.2E+04,34.58 %,1093.00,1.2E+05,34.13 %,1088.50
35.2,1.2E+05,35.13 %,734.00,2.5E+05,30.72 %,734.67,1.1E+05,29.11 %,731.67,1.0E+05,46.81 %,1420.67,8.0E+04,43.38 %,1414.00,9.0E+04,43.01 %,1404.33
35.3,1.2E+05,26.19 %,318.50,1.6E+05,21.59 %,318.50,1.6E+05,21.35 %,318.50,1.4E+05,36.13 %,1034.75,1.6E+05,38.56 %,1036.75,1.9E+05,40.49 %,1034.75
40.1,9.6E+04,34.78 %,975.00,5.9E+04,32.53 %,960.00,8.7E+04,33.39 %,965.33,8.8E+04,39.23 %,1322.33,9.7E+04,38.24 %,1300.67,7.2E+04,39.13 %,1312.00
40.2,9.0E+04,35.49 %,810.75,1.9E+05,31.86 %,808.25,8.2E+04,31.78 %,814.25,7.3E+04,42.95 %,1431.50,9.9E+04,41.31 %,1424.50,1.4E+05,41.77 %,1432.75
40.3,8.0E+04,27.35 %,349.00,8.5E+04,17.91 %,349.00,8.5E+04,20.06 %,349.00,9.4E+04,54.29 %,1850.00,1.8E+04,47.50 %,1850.50,1.8E+04,46.46 %,1848.00
45.1,6.9E+04,33.95 %,1011.33,8.6E+04,31.91 %,1006.00,7.9E+04,31.72 %,1005.67,6.4E+04,40.25 %,1517.67,6.9E+04,39.71 %,1464.00,5.6E+04,39.99 %,1483.67
45.2,7.6E+04,35.95 %,847.25,1.1E+05,31.31 %,848.75,7.4E+04,31.63 %,848.00,5.7E+04,42.46 %,1611.75,7.6E+04,42.93 %,1637.00,8.6E+04,43.43 %,1614.75
45.3,6.7E+04,29.26 %,393.00,3.6E+04,22.42 %,392.50,6.5E+04,21.40 %,392.50,6.7E+04,55.17 %,2097.00,8.5E+04,46.80 %,2086.50,1.1E+04,46.58 %,2085.50
50.1,5.2E+04,35.13 %,1194.75,7.5E+04,34.37 %,1186.25,6.7E+04,34.65 %,1193.25,4.7E+04,39.29 %,1578.50,4.9E+04,40.27 %,1569.50,7.3E+04,39.59 %,1564.75
50.2,6.3E+04,38.32 %,956.50,5.8E+04,29.73 %,952.00,5.4E+04,30.43 %,958.00,4.7E+04,52.46 %,2120.50,3.8E+04,43.79 %,1992.50,1.5E+04,43.69 %,1988.00
50.3,5.5E+04,32.57 %,425.67,8.2E+04,24.79 %,427.67,5.9E+04,28.68 %,425.33,4.3E+04,56.73 %,1868.33,1.8E+04,46.04 %,1907.00,1.0E+04,47.15 %,1887.00
100.1,5.8E+03,39.31 %,2108.00,5.1E+03,81.30 %,2064.00,5.2E+03,75.05 %,2071.25,5.7E+03,42.99 %,3020.50,3.8E+03,75.95 %,2973.00,5.3E+03,75.84 %,2967.25
100.2,5.0E+03,45.43 %,1775.00,5.1E+03,44.49 %,1725.00,5.9E+03,49.66 %,1745.00,5.5E+03,55.34 %,4119.33,5.0E+03,71.16 %,3933.00,7.0E+03,71.49 %,3906.00
100.3,5.2E+03,41.99 %,765.67,3.9E+03,75.20 %,736.67,6.7E+03,59.41 %,750.67,5.4E+03,51.51 %,2982.25,4.7E+03,61.06 %,3016.00,5.4E+03,73.71 %,3517.50
200.1,2.4E+03,—,—,—,73.77 %,3843.00,—,75.98 %,3863.00,1.4E+03,57.05 %,6347.50,2.0E+00,80.36 %,5656.25,—,90.27 %,7205.25
200.2,5.7E+02,60.15 %,3077.00,—,86.48 %,3004.75,—,96.23 %,10078.00,5.4E+02,71.21 %,10392.00,9.0E+00,49.99 %,7648.00,—,81.17 %,10178.00
200.3,2.3E+02,61.92 %,1371.50,—,73.15 %,1318.50,—,76.76 %,1377.00,5.0E+02,58.09 %,5817.25,4.0E+00,73.35 %,9380.00,—,86.30 %,8525.50
300.1,—,99.51 %,8605.00,—,—,—,—,99.61 %,5577.00,—,—,—,—,99.61 %,—,—,90.72 %,8474.99
300.2,—,—,—,—,95.04 %,4452.00,—,—,16622.00,—,80.06 %,14562.30,—,80.06 %,—,—,92.32 %,17180.00
300.3,—,79.43 %,1804.50,—,93.81 %,1872.75,—,99.98 %,17002.00,—,84.64 %,15501.50,—,84.64 %,—,—,93.80 %,15322.50
400.1,—,99.41 %,6867.75,—,—,—,—,—,20091.00,—,—,—,—,—,—,—,—,21561.00
400.2,—,—,—,—,—,—,—,—,19732.00,—,99.69 %,15847.30,—,—,—,—,—,19764.00
400.3,—,99.93 %,20048.50,—,—,—,—,—,20086.00,—,—,—,—,—,—,—,—,20227.00
500.1,—,—,—,—,—,—,—,—,25170.00,—,—,—,—,—,—,—,—,24474.60
500.2,—,—,—,—,—,—,—,—,24965.30,—,—,—,—,—,—,—,—,24940.00
500.3,—,—,—,—,—,—,—,—,23626.50,—,—,—,—,—,—,—,—,24747.00
600.1,—,—,30198.00,—,—,—,—,—,30276.00,—,—,—,—,—,—,—,—,30654.00
600.2,—,—,—,—,—,—,—,—,31805.00,—,—,30084.50,—,—,—,—,—,30175.00
600.3,—,—,—,—,—,—,—,—,30253.00,—,—,—,—,—,—,—,—,29997.00
700.1,—,—,—,—,—,—,—,—,35860.00,—,—,—,—,—,—,—,—,36172.00
700.2,—,—,—,—,—,—,—,—,35139.00,—,—,34477.80,—,—,—,—,—,35499.00
700.3,—,—,—,—,—,—,—,—,34544.00,—,—,35000.50,—,—,—,—,—,35372.00
