 479335 315839     cutoff   70       184.70000  164.66254  10.8%  33.4  865s
 482430 317801     cutoff   69       184.70000  164.67765  10.8%  33.4  870s
 485677 319797  174.86610   59   21  184.70000  164.69583  10.8%  33.3  875s
 488892 321742  179.90797   59   13  184.70000  164.71374  10.8%  33.3  880s
 492094 323653  182.04684   56   21  184.70000  164.73177  10.8%  33.3  885s
 495185 325456  176.28333   51   16  184.70000  164.75022  10.8%  33.3  890s
 498194 327296  179.62708   54   18  184.70000  164.76612  10.8%  33.3  895s
 501459 329260  170.73750   56   10  184.70000  164.78197  10.8%  33.3  900s
 504607 331054  180.24583   58   14  184.70000  164.80000  10.8%  33.3  905s
 507878 333002     cutoff   72       184.70000  164.81906  10.8%  33.3  910s
 510780 334593  183.77446   66   16  184.70000  164.83480  10.8%  33.3  915s
 513922 336441  177.93750   72    8  184.70000  164.85218  10.7%  33.3  920s
 517050 338291  169.29823   55   15  184.70000  164.86884  10.7%  33.3  925s
 520145 340086  175.76051   55   16  184.70000  164.88417  10.7%  33.3  930s
 523355 341963  173.48438   60   13  184.70000  164.90263  10.7%  33.2  935s
 526489 343784  170.22809   52   14  184.70000  164.91725  10.7%  33.2  940s
 529929 345806  173.30365   62   16  184.70000  164.93558  10.7%  33.2  945s
 533113 347736  167.68007   47   21  184.70000  164.95250  10.7%  33.2  950s
 536156 349498  169.56701   51   21  184.70000  164.96784  10.7%  33.2  955s
 539326 351384  182.51348   59   16  184.70000  164.98333  10.7%  33.2  960s
 542111 352931  179.88455   56   12  184.70000  164.99757  10.7%  33.2  965s
 545405 354877  176.04792   64   14  184.70000  165.01506  10.7%  33.2  970s
 548678 356839  182.50417   66   14  184.70000  165.03197  10.6%  33.2  975s
 551906 358785  177.48333   71   11  184.70000  165.04527  10.6%  33.2  980s
 555081 360691  169.62362   47   13  184.70000  165.06354  10.6%  33.1  985s
 558387 362682  176.71528   69   13  184.70000  165.07812  10.6%  33.1  990s
 561514 364471  181.88620   67   15  184.70000  165.09583  10.6%  33.1  995s
 564913 366554  173.04525   55   15  184.70000  165.11191  10.6%  33.1 1000s
 568101 368462  178.93620   60   12  184.70000  165.12639  10.6%  33.1 1005s
 571281 370351  172.76593   58   17  184.70000  165.13828  10.6%  33.1 1010s
 574562 372306  177.45854   55   20  184.70000  165.15301  10.6%  33.1 1015s
 577615 374130  181.89028   62   10  184.70000  165.16634  10.6%  33.1 1020s
 580871 375925  174.13297   63   17  184.70000  165.18208  10.6%  33.1 1025s
 584094 377768     cutoff   69       184.70000  165.19601  10.6%  33.1 1030s
 587141 379573  169.51720   61   19  184.70000  165.20994  10.6%  33.0 1035s
 590576 381700  170.11773   53   20  184.70000  165.22378  10.5%  33.0 1040s
 593677 383464  168.02121   46   18  184.70000  165.23799  10.5%  33.0 1045s
 596634 385145  167.21422   52   17  184.70000  165.25035  10.5%  33.0 1050s
 600065 387205  168.34347   50   14  184.70000  165.26606  10.5%  33.0 1055s
 603307 389021  172.45180   57   17  184.70000  165.28181  10.5%  33.0 1060s
 606640 390935  176.77874   64   17  184.70000  165.29573  10.5%  33.0 1065s
 609755 392758  182.86667   59   15  184.70000  165.31023  10.5%  33.0 1070s
 612899 394613  172.06811   58   11  184.70000  165.32407  10.5%  33.0 1075s
 616252 396624  183.25833   69   11  184.70000  165.34146  10.5%  32.9 1080s
 619613 398557  177.02578   72   17  184.70000  165.35670  10.5%  32.9 1085s
 622640 400348  178.40521   71   10  184.70000  165.36903  10.5%  32.9 1090s
 626024 402284  181.25000   60   15  184.70000  165.38635  10.5%  32.9 1095s
 629166 404114     cutoff   62       184.70000  165.40026  10.4%  32.9 1100s
 632524 406026  178.42708   68    9  184.70000  165.41253  10.4%  32.9 1105s
 635928 407947  169.93966   53   20  184.70000  165.42847  10.4%  32.9 1110s
 639160 409791     cutoff   65       184.70000  165.44248  10.4%  32.9 1115s
 642311 411610  174.19542   58   19  184.70000  165.45588  10.4%  32.9 1120s
 645732 413591  179.65625   62   17  184.70000  165.47088  10.4%  32.9 1125s
 648736 415261  169.83319   57   17  184.70000  165.48426  10.4%  32.9 1130s
 652081 417085  168.46223   57   19  184.70000  165.50030  10.4%  32.9 1135s
 655249 418882  174.98546   61   14  184.70000  165.51299  10.4%  32.9 1140s
 658411 420722  173.85000   58   13  184.70000  165.52675  10.4%  32.8 1145s
 661948 422754  175.92875   59   23  184.70000  165.54028  10.4%  32.8 1150s
 665103 424467     cutoff   63       184.70000  165.55417  10.4%  32.8 1155s
 668231 426244  172.74115   52    8  184.70000  165.56772  10.4%  32.8 1160s
 671448 428007  180.61250   68   13  184.70000  165.58172  10.4%  32.8 1165s
 674635 429820  170.72305   62   16  184.70000  165.59593  10.3%  32.8 1170s
 677873 431660  175.50545   61   16  184.70000  165.60912  10.3%  32.8 1175s
 681338 433609  184.32404   68   12  184.70000  165.62292  10.3%  32.8 1180s
 684668 435560  174.55417   60   12  184.70000  165.63346  10.3%  32.8 1185s
