Rodando pra 1h

Optimize a model with 229 rows, 245 columns and 5779 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 24 rows and 4 columns
Presolve time: 0.01s
Presolved: 205 rows, 241 columns, 4667 nonzeros
Variable types: 90 continuous, 151 integer (145 binary)
Found heuristic solution: objective 512.0010240
Found heuristic solution: objective 491.5009830

Root relaxation: objective 0.000000e+00, 63 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   29  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   40  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   38  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   36  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   35  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   42  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   37  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   30  491.50098    0.00000   100%     -    0s
H    0     0                     452.6675720    0.00000   100%     -    0s
     0     0    0.00000    0   31  452.66757    0.00000   100%     -    0s
     0     0    0.00000    0   30  452.66757    0.00000   100%     -    0s
H    0     0                     413.1674930    0.00000   100%     -    0s
     0     0    0.00000    0   30  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   28  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   33  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   32  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   29  413.16749    0.00000   100%     -    0s
     0     2    0.00000    0   29  413.16749    0.00000   100%     -    0s
 592159 394449     cutoff   53       338.16734  140.67133  58.4%  14.5  395s
 599947 399793  306.29863   54   15  338.16734  140.82530  58.4%  14.5  400s
 607491 404884     cutoff   57       338.16734  140.99876  58.3%  14.5  405s
 614621 409680  238.14250   35   25  338.16734  141.12037  58.3%  14.5  410s
 621823 414497  236.24128   43   16  338.16734  141.28724  58.2%  14.5  415s
 629142 419416  263.32140   52   17  338.16734  141.40348  58.2%  14.5  420s
 636868 424556     cutoff   56       338.16734  141.54002  58.1%  14.5  425s
 644139 429447  173.61430   28   27  338.16734  141.65873  58.1%  14.5  430s
 651518 434495  203.09477   40   18  338.16734  141.78506  58.1%  14.5  435s
 658712 439489  267.93713   54   24  338.16734  141.91293  58.0%  14.5  440s
 665712 444263  158.39337   42   25  338.16734  142.00122  58.0%  14.5  445s
 673440 449470  316.26322   62    5  338.16734  142.10123  58.0%  14.5  450s
 680773 454412  290.14873   54   12  338.16734  142.20142  57.9%  14.5  455s
 687755 459037  225.11072   52   26  338.16734  142.35107  57.9%  14.5  460s
 694820 463812     cutoff   68       338.16734  142.49002  57.9%  14.5  465s
 702337 468790  259.64607   49   25  338.16734  142.62134  57.8%  14.5  470s
 709367 473452  218.49549   42   19  338.16734  142.74780  57.8%  14.5  475s
 716830 478511  276.68124   50   16  338.16734  142.85412  57.8%  14.6  480s
 724195 483430  201.19485   39   23  338.16734  142.97837  57.7%  14.6  485s
 731521 488343  311.14830   65   15  338.16734  143.10357  57.7%  14.6  490s
 738735 493181  184.92152   38   22  338.16734  143.21147  57.7%  14.6  495s
 745993 498120  147.36357   31   24  338.16734  143.32874  57.6%  14.6  500s
 753503 503211  238.26558   41   17  338.16734  143.44064  57.6%  14.6  505s
 761079 508293  191.96503   48   19  338.16734  143.55462  57.5%  14.6  510s
 768824 513613  257.46478   63   22  338.16734  143.69352  57.5%  14.6  515s
 776289 518649  311.09769   58    9  338.16734  143.78389  57.5%  14.6  520s
 783753 523703  198.27150   44   17  338.16734  143.89548  57.4%  14.6  525s
 791015 528591  145.32256   33   28  338.16734  143.97377  57.4%  14.6  530s
 798597 533687  304.68762   50   13  338.16734  144.07945  57.4%  14.6  535s
 806121 538789  154.66751   37   25  338.16734  144.18572  57.4%  14.6  540s
 813538 543667  284.29004   68   12  338.16734  144.31435  57.3%  14.6  545s
 821260 548886  228.77956   36   23  338.16734  144.42179  57.3%  14.6  550s
 829162 554257  273.49702   54   19  338.16734  144.50337  57.3%  14.6  555s
 836564 559165     cutoff   66       338.16734  144.64668  57.2%  14.6  560s
 844269 564341  321.29053   59   14  338.16734  144.75760  57.2%  14.5  565s
 851382 569157  173.48218   41   24  338.16734  144.84665  57.2%  14.6  570s
 859204 574361  281.62638   38   17  338.16734  144.97184  57.1%  14.5  575s
 865872 578862  184.60211   41   25  338.16734  145.04116  57.1%  14.6  580s
 873515 584003  173.26744   38   25  338.16734  145.13854  57.1%  14.6  585s
 880870 588852  240.00048   45   10  338.16734  145.22133  57.1%  14.6  590s
 888132 593739  198.67561   38   30  338.16734  145.35288  57.0%  14.6  595s
 895256 598464  218.72434   48   19  338.16734  145.46309  57.0%  14.6  600s
 902651 603411  181.30536   34   18  338.16734  145.55511  57.0%  14.6  605s
 909959 608304  154.14233   39   27  338.16734  145.63178  56.9%  14.6  610s
 916930 612957  166.29877   42   28  338.16734  145.70522  56.9%  14.6  615s
 924465 617989  299.78025   50   13  338.16734  145.79004  56.9%  14.6  620s
 931567 622766  176.25405   44   27  338.16734  145.87348  56.9%  14.6  625s
 939268 627971  319.14879   61   11  338.16734  145.94918  56.8%  14.6  630s
 946682 632843  175.87511   41   27  338.16734  146.05321  56.8%  14.6  635s
 953957 637720  334.53771   66   10  338.16734  146.14389  56.8%  14.6  640s
 961270 642638  260.04692   57   21  338.16734  146.22309  56.8%  14.6  645s
 968976 647796  162.99996   38   26  338.16734  146.34024  56.7%  14.6  650s
 976120 652504  244.62737   50   16  338.16734  146.44355  56.7%  14.6  655s
 983346 657260 infeasible   46       338.16734  146.51927  56.7%  14.6  660s
 990603 662054  253.88528   49   13  338.16734  146.62104  56.6%  14.6  665s
 997597 666735  266.00053   36   18  338.16734  146.67283  56.6%  14.6  670s
 1004790 671469  256.31438   57   19  338.16734  146.73773  56.6%  14.6  675s
 1012026 676234  323.87102   64   12  338.16734  146.83275  56.6%  14.6  680s
 1019494 681183  213.17472   36   17  338.16734  146.91081  56.6%  14.6  685s
 1026485 685811  179.45925   40   25  338.16734  146.97454  56.5%  14.6  690s
 1033633 690527  156.57350   40   26  338.16734  147.05193  56.5%  14.6  695s
 1040780 695267     cutoff   53       338.16734  147.11243  56.5%  14.6  700s
 1047753 699958  172.83976   34   26  338.16734  147.20649  56.5%  14.6  705s
 1055166 704881  200.53599   42   19  338.16734  147.30220  56.4%  14.6  710s
 1062335 709591  306.07469   48    9  338.16734  147.36349  56.4%  14.6  715s
 1069425 714275  199.18888   49   18  338.16734  147.44772  56.4%  14.6  720s
 1076888 719264  226.56801   39   25  338.16734  147.51928  56.4%  14.6  725s
 1083766 723823  213.00043   47    7  338.16734  147.58985  56.4%  14.6  730s
 1091005 728547  253.83098   53   18  338.16734  147.68818  56.3%  14.6  735s
 1098426 733451  170.17776   32   20  338.16734  147.76203  56.3%  14.6  740s
 1106023 738544  181.18308   38   15  338.16734  147.85278  56.3%  14.6  745s
 1113366 743367  267.48832   61   20  338.16734  147.91547  56.3%  14.6  750s
 1120917 748287  302.51912   52   10  338.16734  147.98025  56.2%  14.6  755s
 1127918 752852  249.20064   50   19  338.16734  148.06548  56.2%  14.6  760s
 1134832 757399     cutoff   49       338.16734  148.12651  56.2%  14.6  765s
 1141862 762057  178.89904   36   27  338.16734  148.23185  56.2%  14.6  770s
 1148850 766674  312.36556   59    9  338.16734  148.31782  56.1%  14.6  775s
