Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
,GS,,,FER1,,,FER2,,,GS,,,FER1,,,FER2,,
,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*,nod,t(s)/gap(\%),z*
100.2,6.3E+03,—,—,1.9E+03,45.73 %,1767.80,3.7E+03,49.67 %,1786.60,6.6E+03,49.67 %,—,6.0E+03,67.26 %,3977.00,5.9E+03,69.58 %,4235.00
100.3,6.4E+03,59.00 %,265.60,4.5E+02,58.81 %,242.80,4.8E+03,54.95 %,234.40,5.4E+03,54.95 %,—,9.1E+02,64.21 %,4690.20,6.2E+03,64.64 %,4745.30
200.1,2.4E+03,—,—,—,55.53 %,4856.60,2.0E+01,79.16 %,10144.00,1.1E+03,79.16 %,—,—,—,—,1.0E+00,60.17 %,6844.00
200.2,3.0E+03,—,—,—,61.48 %,1543.20,1.0E+00,86.04 %,4079.70,1.5E+03,86.04 %,—,—,84.71 %,8134.40,8.0E+00,84.63 %,8137.90
200.3,2.5E+03,—,—,—,51.60 %,916.20,2.3E+01,95.72 %,9738.00,2.4E+03,95.72 %,—,—,70.01 %,9531.40,3.7E+01,71.90 %,10155.00
300.1,—,—,—,—,—,—,—,99.77 %,17240.00,—,83.45 %,9765.60,—,—,—,—,99.88 %,17131.00
300.2,—,—,—,—,99.37 %,2749.20,—,99.90 %,17515.00,—,—,—,—,—,—,—,99.77 %,17376.00
300.3,—,—,—,—,99.21 %,1778.80,—,99.92 %,17128.00,—,93.95 %,12544.00,—,—,—,—,99.89 %,17512.00
400.1,—,—,—,—,—,—,—,—,20488.00,—,—,—,—,—,—,—,—,20146.00
400.2,—,—,—,—,—,—,—,—,19873.00,—,—,—,—,—,—,—,—,20451.00
400.3,—,—,—,—,99.59 %,1757.20,—,—,20097.00,—,—,—,—,—,—,—,—,19934.00
500.1,—,—,—,—,—,—,—,—,24792.40,—,—,—,—,—,—,—,—,24945.80
500.2,—,—,—,—,—,—,—,—,24813.00,—,—,—,—,—,—,—,—,24598.40
500.3,—,—,—,—,—,—,—,—,24285.80,—,—,—,—,—,—,—,—,25153.00
600.1,—,—,—,—,—,—,—,—,30575.00,—,—,—,—,—,—,—,—,30890.00
600.2,—,—,—,—,—,—,—,—,30109.00,—,—,—,—,—,—,—,—,30318.00
600.3,—,—,—,—,—,—,—,—,30849.00,—,—,—,—,—,—,—,—,30064.00
700.1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
700.2,—,—,—,—,—,—,—,—,35377.00,—,—,—,—,—,—,—,—,36188.00
700.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
