Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
10.3,2.0E+04,38.66s ,156.00,2.6E+03,16.07s ,156.00,1.3E+04,15.06s ,156.00,3.0E+05,1077.45s ,241.40,2.8E+04,35.44s ,241.40,5.0E+04,82.27s ,241.40
15.1,7.1E+05,14.33 %,252.10,2.1E+05,333.35s ,252.10,6.3E+04,99.56s ,252.10,6.1E+05,34.44 %,531.00,6.3E+05,27.66 %,512.60,5.4E+05,27.13 %,513.10
15.2,5.1E+05,1287.74s ,192.80,1.9E+04,57.75s ,192.80,2.7E+04,54.73s ,192.80,8.6E+05,46.00 %,641.80,1.8E+06,36.17 %,626.00,5.7E+05,36.31 %,627.40
15.3,3.4E+05,1013.12s ,176.20,2.0E+04,149.61s ,176.20,4.9E+04,158.04s ,176.20,8.3E+05,27.60 %,322.60,3.8E+05,75.70 %,322.60,9.7E+05,9.42 %,322.60
20.1,4.3E+05,25.20 %,357.00,1.6E+06,18.11 %,347.30,7.3E+05,17.68 %,347.30,2.9E+05,43.60 %,775.60,9.6E+05,37.64 %,760.80,3.7E+05,39.73 %,752.60
20.2,9.0E+05,9.04 %,235.20,2.2E+06,2806.35s ,235.20,1.4E+05,485.36s ,235.20,6.9E+05,37.62 %,374.20,2.4E+05,32.11 %,371.20,3.9E+05,42.94 %,371.20
20.3,1.1E+06,6.12 %,188.00,2.1E+05,15.78 %,185.70,6.1E+05,1212.46s ,185.70,4.1E+05,44.51 %,578.70,8.0E+04,74.83 %,651.50,6.3E+04,73.49 %,651.50
25.1,2.9E+05,32.29 %,442.60,2.5E+05,22.98 %,420.40,1.6E+05,45.64 %,426.80,1.9E+05,45.71 %,947.00,1.7E+05,46.86 %,917.20,5.6E+05,39.07 %,905.00
25.2,3.3E+05,25.09 %,451.00,1.7E+05,18.86 %,430.60,4.1E+05,24.15 %,434.00,1.5E+05,45.60 %,425.20,3.3E+05,43.25 %,408.80,1.4E+05,65.19 %,409.60
25.3,5.8E+05,12.99 %,247.50,1.0E+06,20.38 %,244.40,2.2E+05,11.87 %,244.40,2.8E+05,68.34 %,840.30,3.5E+05,36.17 %,693.40,3.4E+05,76.80 %,816.90
30.1,2.0E+05,34.16 %,545.00,1.2E+05,57.86 %,528.20,9.3E+04,49.04 %,518.40,1.4E+05,49.45 %,1193.80,4.2E+04,41.16 %,1098.60,1.9E+05,46.19 %,1098.00
30.2,1.7E+05,27.89 %,509.20,1.4E+05,46.37 %,501.20,1.3E+05,32.43 %,500.80,1.4E+05,60.62 %,783.20,1.3E+05,69.25 %,595.80,3.0E+04,81.00 %,778.00
30.3,2.1E+05,20.81 %,275.40,2.2E+05,15.27 %,271.10,5.2E+05,15.42 %,271.10,9.9E+04,85.44 %,964.10,4.4E+04,38.88 %,853.30,3.7E+04,74.69 %,982.30
35.1,9.2E+04,45.43 %,827.80,7.1E+04,53.82 %,807.20,5.8E+04,46.89 %,796.40,8.3E+04,75.02 %,690.80,1.1E+05,35.80 %,522.40,1.7E+04,75.87 %,675.60
35.2,8.7E+04,38.38 %,666.80,8.6E+04,45.22 %,647.10,1.3E+05,35.41 %,647.80,9.4E+04,55.67 %,935.10,1.2E+05,39.17 %,810.40,1.4E+04,67.15 %,840.50
35.3,1.3E+05,21.73 %,298.60,1.1E+05,15.85 %,295.20,1.5E+05,24.66 %,295.20,8.6E+04,84.19 %,1439.00,3.6E+04,65.64 %,1279.80,4.2E+04,73.21 %,1436.20
40.1,6.6E+04,45.39 %,903.20,5.2E+04,55.16 %,905.00,2.1E+04,49.57 %,901.40,5.9E+04,77.75 %,889.40,8.0E+04,41.50 %,538.80,1.5E+04,68.23 %,559.60
40.2,7.0E+04,40.42 %,763.50,2.2E+04,38.74 %,719.10,2.4E+04,39.79 %,731.50,6.3E+04,79.18 %,1308.00,4.6E+04,70.80 %,930.10,1.7E+04,67.15 %,952.10
40.3,8.4E+04,27.51 %,318.80,8.6E+04,21.05 %,311.60,6.7E+04,27.00 %,312.60,6.5E+04,84.80 %,1632.60,6.6E+03,75.43 %,1659.60,1.1E+04,73.99 %,1660.80
45.1,5.2E+04,44.25 %,1185.60,4.1E+04,47.12 %,1133.10,1.4E+04,43.89 %,1106.20,4.7E+04,67.69 %,1013.70,3.2E+04,66.40 %,858.80,2.5E+04,62.29 %,862.70
45.2,6.3E+04,37.83 %,909.20,2.6E+04,39.41 %,874.40,2.5E+04,37.80 %,872.00,4.4E+04,73.90 %,1504.60,4.0E+04,73.36 %,1581.00,1.2E+04,70.97 %,1593.60
45.3,3.4E+04,46.19 %,177.80,2.0E+05,30.82 %,167.40,2.1E+04,60.14 %,167.60,5.7E+04,80.55 %,2083.60,6.4E+04,67.56 %,2065.80,1.5E+04,65.06 %,2068.80
50.1,4.4E+04,43.12 %,1391.00,3.6E+04,49.94 %,1336.00,2.2E+04,44.83 %,1344.20,3.9E+04,64.85 %,1331.80,1.8E+04,65.44 %,1200.40,1.1E+04,64.22 %,1291.80
50.2,3.2E+04,57.87 %,357.00,1.5E+04,59.98 %,328.80,8.9E+03,54.15 %,325.00,3.9E+04,68.50 %,2023.40,3.2E+04,67.26 %,2001.00,1.2E+04,64.10 %,1985.80
50.3,2.1E+04,25.81 %,244.40,1.1E+05,17.86 %,227.90,4.2E+04,51.81 %,228.70,4.3E+04,78.47 %,2397.00,3.5E+04,63.89 %,2325.10,7.9E+03,62.04 %,2341.70
100.1,5.6E+03,46.09 %,2534.20,5.1E+03,51.25 %,2441.60,4.5E+03,54.26 %,2478.20,6.1E+03,—,—,5.3E+03,66.09 %,3246.40,2.7E+03,67.76 %,3282.60
100.2,5.5E+03,65.54 %,727.60,6.7E+03,61.04 %,585.80,5.1E+03,60.91 %,621.20,6.6E+03,—,—,6.4E+03,63.43 %,4058.00,5.2E+03,64.21 %,4134.70
100.3,5.9E+03,54.20 %,355.90,1.5E+03,52.12 %,302.00,1.0E+03,55.23 %,310.90,5.6E+03,81.05 %,5355.20,9.2E+02,59.54 %,4718.20,3.5E+03,59.73 %,4726.40
200.1,1.3E+03,88.33 %,4313.40,—,77.49 %,2254.60,2.5E+01,95.47 %,10580.00,7.2E+03,—,—,—,59.21 %,6537.00,7.8E+01,60.45 %,6520.40
200.2,3.5E+03,—,—,—,60.08 %,1868.20,1.3E+01,92.91 %,10070.00,2.4E+02,87.61 %,7519.60,—,82.93 %,7215.20,1.1E+02,88.38 %,10508.00
200.3,4.5E+03,—,—,—,49.83 %,1010.60,—,55.15 %,1053.50,6.5E+02,—,—,—,70.15 %,9513.40,9.9E+01,70.24 %,9535.00
300.1,—,—,—,—,—,—,—,99.81 %,17582.00,—,—,—,—,—,—,—,96.37 %,17425.00
300.2,—,—,—,—,78.22 %,2188.20,—,99.93 %,17265.00,—,—,—,—,—,—,—,89.38 %,12432.20
300.3,—,—,—,—,99.21 %,1533.20,—,99.89 %,16798.00,—,93.63 %,7209.20,—,—,—,—,93.89 %,16947.00
400.1,—,—,—,—,—,—,—,—,20988.00,—,99.77 %,9895.20,—,—,—,—,—,20658.00
400.2,—,—,—,—,99.57 %,1827.80,—,—,20215.00,—,—,—,—,—,—,—,—,20195.00
400.3,—,—,—,—,99.59 %,2762.20,—,—,19998.00,—,—,—,—,—,—,—,—,20045.00
500.1,—,—,—,—,—,—,—,—,24797.00,—,—,—,—,—,—,—,—,24833.60
500.2,—,—,—,—,—,—,—,—,24543.00,—,—,—,—,—,—,—,—,24685.20
500.3,—,—,—,—,—,—,—,—,24150.60,—,—,—,—,—,—,—,—,24748.80
600.1,—,—,—,—,—,—,—,—,30949.00,—,—,—,—,—,—,—,—,31096.00
600.2,—,—,—,—,—,—,—,—,30972.00,—,—,—,—,—,—,—,—,31256.00
600.3,—,—,—,—,—,—,—,—,29438.00,—,—,—,—,—,—,—,—,30596.00
700.1,—,—,—,—,—,—,—,—,36152.00,—,—,—,—,—,—,—,—,35871.00
700.2,—,—,—,—,—,—,—,—,35912.00,—,—,—,—,—,—,—,—,35411.00
700.3,—,—,—,—,—,—,—,—,34334.00,—,—,—,—,—,—,—,—,35954.00
