Instância,Correlated,,,,,,Anticorrelated,,,,,
,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado,Média da eficácia do  plas1,Média da eficácia do  plas2,Média da eficácia do plas3,Média da eficácia do primTrans,Média da eficácia do SA_Trans,Média da quantidade de vezes em que o fitness foi avaliado
100.3,0.45,1.45,0.28,0.20,0.02,5.3142E+05,3.69,1.22,1.08,0.06,12.88,5.3311E+05
200.1,2.79,12.29,2.57,7.25,0.05,5.3424E+05,4.49,23.89,12.25,7.04,5.22,5.3488E+05
200.2,2.35,12.37,3.25,4.95,0.14,5.3594E+05,1.38,5.11,0.74,5.04,0.00,5.3500E+05
200.3,0.14,0.69,0.01,0.92,0.00,5.3300E+05,0.42,2.73,0.53,1.19,0.00,5.3372E+05
300.1,3.48,11.18,1.38,10.72,0.00,5.3510E+05,5.63,27.35,6.59,13.31,0.31,5.3708E+05
300.2,6.02,28.67,9.78,8.84,2.07,5.3712E+05,2.29,12.91,3.00,7.32,0.01,5.3414E+05
300.3,0.93,4.52,0.48,1.97,0.01,5.3459E+05,0.48,2.10,0.16,1.86,0.00,5.3160E+05
400.1,9.42,54.56,22.18,23.51,10.77,5.3583E+05,6.95,37.47,10.40,18.10,0.27,5.3546E+05
400.2,1.69,7.92,0.51,8.28,0.00,5.3374E+05,4.60,27.05,9.78,10.80,0.09,5.3121E+05
400.3,0.65,3.47,0.17,2.39,0.00,5.3473E+05,19.51,5.75,4.46,0.41,46.67,5.3663E+05
500.1,13.55,75.78,31.26,28.86,11.86,5.3592E+05,51.75,125.21,82.83,19.21,132.70,5.3663E+05
500.2,5.65,36.40,10.80,14.06,0.11,5.3312E+05,5.41,34.67,12.24,12.45,0.08,5.3738E+05
500.3,0.77,3.34,0.22,3.10,0.00,5.3417E+05,0.68,3.17,0.22,3.43,0.00,5.3465E+05
600.1,14.71,92.11,38.03,34.27,11.20,5.3433E+05,10.64,54.35,14.43,30.01,0.26,5.3566E+05
600.2,11.08,61.39,22.87,21.31,1.48,5.3419E+05,5.76,41.92,15.72,14.80,0.08,5.3388E+05
600.3,0.63,2.80,0.06,3.19,0.00,5.3831E+05,28.60,9.05,6.88,0.90,66.83,5.3593E+05
700.1,15.59,107.85,45.22,40.18,12.25,5.3525E+05,10.10,45.82,9.90,33.39,0.03,5.3503E+05
700.2,9.18,48.78,14.27,21.86,0.09,5.3597E+05,4.56,22.14,3.64,19.32,0.00,5.3164E+05
700.3,1.02,6.67,0.41,4.58,0.00,5.3522E+05,1.15,4.51,0.52,5.25,0.00,5.3487E+05
800.1,8.05,32.34,4.66,29.47,0.00,5.3501E+05,17.65,112.22,65.42,34.65,5.22,5.3575E+05
800.2,4.09,17.76,1.59,17.87,0.00,5.3497E+05,5.60,25.51,4.19,22.71,0.00,5.3464E+05
800.3,4.72,21.22,6.38,6.78,0.07,5.3318E+05,40.96,12.40,9.92,1.31,83.72,5.3368E+05
900.1,11.52,65.12,10.90,37.92,0.01,5.3401E+05,13.95,55.98,12.69,45.99,0.05,5.3510E+05
900.2,15.91,87.72,33.39,32.06,1.55,5.3398E+05,9.37,61.47,24.31,23.08,0.07,5.3553E+05
900.3,2.82,17.26,3.18,6.43,0.00,5.3217E+05,2.78,17.20,4.57,6.51,0.00,5.3093E+05
1000.1,14.58,67.74,12.78,42.02,0.01,5.3388E+05,16.24,91.40,26.54,51.83,0.22,5.3460E+05
1000.2,4.70,23.98,2.16,22.03,0.00,5.3448E+05,9.56,71.35,26.44,28.64,0.05,5.3701E+05
1000.3,4.93,29.28,7.84,9.54,0.06,5.3355E+05,56.69,17.67,12.93,1.66,100.40,5.3240E+05
,,,,,,534219.98,,,,,,534544.58
