Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
45.2,965.00,95.70 %,0.06,1.37,943.50,-2.23,0.37,0.64,938.00,-2.80,990.25,97.45 %,0.38,1.34,946.00,-4.47,0.55,0.64,943.13,-4.76
45.3,361.50,95.57 %,0.12,1.36,361.25,-0.07,0.53,0.63,351.50,-2.77,394.17,92.09 %,0.02,1.38,388.83,-1.35,0.01,0.64,388.83,-1.35
50.1,1451.25,98.05 %,0.31,1.46,1368.00,-5.74,0.59,0.73,1359.00,-6.36,1452.00,99.21 %,0.79,1.49,1370.25,-5.63,0.62,0.74,1362.12,-6.19
50.2,996.00,97.89 %,0.37,1.47,959.50,-3.66,0.57,0.72,952.50,-4.37,1091.00,97.20 %,0.33,1.49,1040.50,-4.63,0.63,0.74,1018.50,-6.65
50.3,407.50,95.91 %,0.02,1.50,402.50,-1.23,0.46,0.72,401.00,-1.60,434.00,78.46 %,0.16,1.48,432.50,-0.35,0.51,0.73,430.17,-0.88
100.1,3357.25,99.87 %,1.57,3.39,2500.88,-25.51,1.75,1.85,2502.12,-25.47,3752.00,99.96 %,1.07,3.44,2447.75,-34.76,1.44,1.87,2440.25,-34.96
100.2,2597.84,99.82 %,0.54,3.43,1858.92,-28.44,1.48,1.84,1852.67,-28.68,2901.67,99.87 %,0.05,3.42,1947.67,-32.88,1.39,1.84,1940.84,-33.11
100.3,994.50,99.57 %,0.72,3.45,716.88,-27.92,1.66,1.85,708.50,-28.76,962.00,99.27 %,0.57,3.38,728.50,-24.27,1.43,1.81,725.00,-24.64
200.1,7207.51,100.00 %,3.01,8.97,4742.51,-34.20,4.11,4.41,4732.51,-34.34,7011.00,100.00 %,4.31,8.85,4362.50,-37.78,4.01,4.45,4369.00,-37.68
200.2,4541.00,99.54 %,4.30,8.90,3102.50,-31.68,3.81,4.37,3110.50,-31.50,6307.00,100.00 %,4.72,8.57,3536.25,-43.93,3.93,4.32,3533.38,-43.98
200.3,1445.75,99.79 %,2.37,8.98,1268.75,-12.24,3.80,4.30,1261.75,-12.73,2516.84,99.99 %,1.01,8.94,1310.84,-47.92,3.98,4.31,1306.17,-48.10
300.1,11802.00,100.00 %,7.90,11.40,5913.75,-49.89,5.63,7.75,5910.25,-49.92,13001.00,100.00 %,6.19,11.47,6187.25,-52.41,7.06,7.77,6194.00,-52.36
300.2,12194.00,100.00 %,4.49,11.48,4283.00,-64.88,6.93,7.79,4283.25,-64.87,17376.00,100.00 %,5.99,11.51,4627.75,-73.37,6.93,7.86,4617.25,-73.43
300.3,7141.00,100.00 %,4.65,11.57,1684.50,-76.41,6.56,7.63,1678.50,-76.49,7921.00,100.00 %,4.64,11.61,1808.12,-77.17,6.17,7.74,1799.75,-77.28
400.1,17258.00,100.00 %,7.91,16.44,7675.25,-55.53,12.39,13.18,7660.25,-55.61,17899.00,100.00 %,10.57,16.23,7895.50,-55.89,12.01,13.32,7898.75,-55.87
400.2,11480.00,100.00 %,1.49,16.68,6231.10,-45.72,11.23,13.21,6221.51,-45.81,18864.20,100.00 %,13.71,16.20,6346.75,-66.36,11.89,13.33,6332.00,-66.43
400.3,11261.00,100.00 %,0.87,16.76,2248.62,-80.03,11.40,13.07,2241.25,-80.10,10947.00,100.00 %,13.51,16.31,2256.25,-79.39,12.28,13.11,2244.50,-79.50
500.1,21461.00,100.00 %,19.15,21.36,10354.10,-51.75,18.34,19.81,10341.60,-51.81,21924.00,100.00 %,19.45,20.74,10796.50,-50.75,19.35,19.94,10805.50,-50.71
500.2,20578.50,100.00 %,15.77,21.05,7221.00,-64.91,17.70,19.83,7209.50,-64.97,23505.50,100.00 %,19.15,20.70,7699.62,-67.24,18.72,19.84,7676.50,-67.34
500.3,18731.00,100.00 %,3.49,21.91,2605.88,-86.09,16.86,19.60,2598.62,-86.13,24402.00,100.00 %,13.33,21.71,2748.88,-88.74,18.46,19.73,2735.12,-88.79
600.1,25304.50,100.00 %,23.58,26.37,11060.60,-56.29,25.10,26.71,11053.50,-56.32,30890.10,100.00 %,16.44,26.78,12827.40,-58.47,25.28,26.64,12811.90,-58.52
600.2,27573.50,100.00 %,21.47,26.05,8434.25,-69.41,25.40,26.81,8423.00,-69.45,24976.00,100.00 %,19.70,26.33,9417.52,-62.29,26.02,26.58,9372.27,-62.47
600.3,30849.10,100.00 %,1.99,27.52,3221.17,-89.56,22.11,26.54,3214.93,-89.58,15188.00,100.00 %,12.36,27.05,3071.75,-79.78,22.64,26.47,3060.00,-79.85
700.1,—,—,26.27,32.05,12592.20,—,33.18,34.92,12579.20,—,31481.00,100.00 %,23.39,31.34,12606.00,-59.96,33.65,35.01,12621.00,-59.91
700.2,35377.00,100.00 %,25.52,31.64,9543.62,-73.02,31.01,34.95,9530.75,-73.06,—,—,16.11,31.98,9661.75,—,32.63,34.95,9655.00,—
700.3,—,—,2.75,33.40,3644.34,—,31.63,34.89,3641.01,—,35229.00,100.00 %,25.17,32.62,3641.88,-89.66,32.19,34.82,3627.25,-89.70
800.1,—,—,34.69,38.39,15679.10,—,42.50,44.57,15668.60,—,—,—,30.16,38.43,16463.40,—,41.98,44.88,16446.50,—
800.2,—,—,24.14,38.27,9801.00,—,41.31,44.61,9793.00,—,—,—,24.67,38.03,10708.50,—,42.55,44.69,10696.20,—
800.3,—,—,7.31,40.15,3941.88,—,39.44,44.37,3934.62,—,—,—,29.42,39.55,4046.88,—,40.26,44.48,4035.00,—
900.1,—,—,20.66,45.09,17248.00,—,50.17,53.95,17227.80,—,—,—,37.01,42.60,18189.00,—,47.38,53.85,18181.10,—
900.2,—,—,4.47,45.58,12551.30,—,46.06,53.62,12540.80,—,—,—,40.81,41.94,12754.80,—,51.16,53.86,12721.10,—
900.3,—,—,35.13,43.05,4072.75,—,49.58,53.67,4050.75,—,—,—,35.56,44.80,4670.26,—,50.29,53.58,4657.43,—
1000.1,—,—,40.19,49.33,15381.20,—,60.78,65.41,15374.20,—,—,—,42.98,48.42,17134.50,—,62.11,65.47,17148.00,—
1000.2,—,—,45.68,47.46,12028.50,—,63.30,65.52,12037.50,—,—,—,42.35,50.66,14629.00,—,63.70,65.42,14594.00,—
1000.3,—,—,45.28,48.17,4474.50,—,61.03,65.29,4456.50,—,—,—,5.50,52.32,5145.68,—,62.30,65.17,5126.43,—
