Rodando pra 1h
Optimize a model with 320 rows, 443 columns and 2308 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 1e+01]
Presolve time: 0.01s
Presolved: 320 rows, 443 columns, 2308 nonzeros
Variable types: 274 continuous, 169 integer (169 binary)

Root relaxation: objective 0.000000e+00, 63 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   23          -    0.00000      -     -    0s
     0     0    0.00000    0   36          -    0.00000      -     -    0s
     0     0    0.00000    0   34          -    0.00000      -     -    0s
     0     0    0.00000    0   38          -    0.00000      -     -    0s
     0     0    0.00000    0   26          -    0.00000      -     -    0s
     0     2    0.00000    0   23          -    0.00000      -     -    0s
* 1957  1246             131     528.0010560   20.46433  96.1%  16.1    1s
H 2257  1495                     493.6676540   23.28576  95.3%  16.5    2s
H 2311  1518                     435.8342050   23.28576  94.7%  16.4    2s
H 2653  1762                     407.1674810   25.50762  93.7%  17.1    2s
H 3750  2615                     379.8340930   31.28578  91.8%  16.7    3s
H 5426  3991                     373.0007460   33.31939  91.1%  17.1    4s
  6427  4826  356.00428   99   16  373.00075   34.66971  90.7%  17.0    5s
H 7710  5692                     330.6673280   37.11937  88.8%  16.6    5s
H 7953  5871                     325.5006510   37.54769  88.5%  16.5    5s
H 8358  6071                     309.5006190   37.84769  87.8%  16.5    6s
 11019  8267  212.80974   89   15  309.50062   41.91278  86.5%  17.0   10s
*12582  9504              68     305.6672780   43.83342  85.7%  17.2   11s
H14156 10595                     292.8339190   44.89553  84.7%  17.5   12s
H14469  9865                     240.1671470   44.93660  81.3%  17.6   13s
 16355 11423     cutoff   45       240.16715   45.67615  81.0%  18.2   15s
 250120 149255  118.57930   35   28  204.16708   85.77917  58.0%  38.4  425s
 252695 150451  187.72050   48   18  204.16708   85.87913  57.9%  38.5  430s
 255127 151820  171.74535   36   25  204.16708   85.95203  57.9%  38.5  435s
 257898 153235   94.02970   41   26  204.16708   86.04537  57.9%  38.6  440s
 260568 154665  156.26646   46   17  204.16708   86.08654  57.8%  38.6  445s
 263193 156113  112.64897   41   24  204.16708   86.17593  57.8%  38.7  450s
 265604 157489  198.11812   49   20  204.16708   86.24145  57.8%  38.7  455s
 268193 158862  146.87743   43   15  204.16708   86.33387  57.7%  38.8  460s
 270776 160294  117.31181   43   22  204.16708   86.42513  57.7%  38.9  465s
 273200 161521  109.19571   41   26  204.16708   86.49634  57.6%  39.0  470s
 275546 162719  182.74783   27   24  204.16708   86.58576  57.6%  39.0  475s
 278206 164065  200.45504   50   20  204.16708   86.67982  57.5%  39.1  480s
 280777 165415  193.05912   40   18  204.16708   86.77677  57.5%  39.2  485s
 283351 166685  192.36357   39   19  204.16708   86.90537  57.4%  39.2  490s
 285859 167934  170.96801   50   20  204.16708   87.00303  57.4%  39.3  495s
 288470 169347  132.12358   38   20  204.16708   87.11227  57.3%  39.3  500s
 290912 170573  161.30852   63   18  204.16708   87.23456  57.3%  39.4  505s
 293608 171939  136.36636   39   19  204.16708   87.34444  57.2%  39.4  510s
 295953 173047  100.43035   38   31  204.16708   87.44123  57.2%  39.5  515s
 298535 174345  120.35265   38   16  204.16708   87.53610  57.1%  39.5  520s
 301289 175794  193.05463   67   11  204.16708   87.61182  57.1%  39.6  525s
 303843 177152  179.22642   38   29  204.16708   87.71319  57.0%  39.6  530s
 306369 178509  188.55049   37   26  204.16708   87.78946  57.0%  39.7  535s
 309092 179949     cutoff   64       204.16708   87.89565  56.9%  39.7  540s
 311783 181539  102.22148   33   31  204.16708   87.99543  56.9%  39.7  545s
 314347 182793  175.64185   39   21  204.16708   88.08600  56.9%  39.8  550s
 316911 184157  175.78640   42   22  204.16708   88.16294  56.8%  39.8  555s
 319463 185410  167.31985   74   14  204.16708   88.26169  56.8%  39.9  560s
 321996 186701  177.26356   35   21  204.16708   88.37242  56.7%  39.9  565s
 324587 188093   93.32315   48   31  204.16708   88.44798  56.7%  39.9  570s
 327246 189402  187.97160   45   15  204.16708   88.51721  56.6%  40.0  575s
 329595 190489  132.22776   37   20  204.16708   88.59294  56.6%  40.0  580s
 332171 191885  149.74739   42   26  204.16708   88.67552  56.6%  40.1  585s
 334825 193210  196.63893   50   17  204.16708   88.77099  56.5%  40.1  590s
 337266 194445  197.16895   48   16  204.16708   88.85669  56.5%  40.2  595s
 339781 195770  157.85114   45   21  204.16708   88.94528  56.4%  40.2  600s
 342349 197061     cutoff   46       204.16708   89.05620  56.4%  40.2  605s
 344867 198460  122.28346   38   30  204.16708   89.12748  56.3%  40.3  610s
 347559 199935  173.82461   64   22  204.16708   89.21663  56.3%  40.3  615s
 349977 201162  113.23847   25   24  204.16708   89.28669  56.3%  40.4  620s
 352531 202433  127.32491   50   18  204.16708   89.38025  56.2%  40.4  625s
 355431 203887  198.02464   56   15  204.16708   89.45194  56.2%  40.4  630s
 358004 205216  169.71985   37   15  204.16708   89.54179  56.1%  40.4  635s
 360984 206828  115.33846   32   32  204.16708   89.59997  56.1%  40.4  640s
 363749 208223  186.82801   56   11  204.16708   89.66824  56.1%  40.5  645s
 366761 209915  114.09288   38   17  204.16708   89.73365  56.0%  40.5  650s
 369380 211397  190.75017   38   21  204.16708   89.80742  56.0%  40.5  655s
 371886 212635     cutoff   51       204.16708   89.90001  56.0%  40.6  660s
 374961 214427  145.11803   42   24  204.16708   89.96856  55.9%  40.6  665s
H376350 206830                     196.0003920   90.01361  54.1%  40.6  667s
 376843 207078  151.79376   53   17  196.00039   90.03450  54.1%  40.6  670s
 379237 208339  185.91344   35   24  196.00039   90.13464  54.0%  40.6  675s
 381907 209587  182.51314   40   24  196.00039   90.22675  54.0%  40.7  680s
 384700 210937  151.10245   48   12  196.00039   90.31601  53.9%  40.7  685s
 387469 212231  184.60004   49   11  196.00039   90.39326  53.9%  40.7  690s
 390231 213657  135.27464   48   17  196.00039   90.49421  53.8%  40.7  695s
 393013 215072  158.90232   49   19  196.00039   90.56630  53.8%  40.8  700s
 395853 216362  170.25783   52   14  196.00039   90.66130  53.7%  40.8  705s
 398700 217884  153.31732   49   20  196.00039   90.74301  53.7%  40.8  710s
 401727 219418  126.82640   30   18  196.00039   90.81415  53.7%  40.8  715s
 404690 220735  166.89033   48   16  196.00039   90.91172  53.6%  40.8  720s
 407499 222104  182.83420   45   20  196.00039   90.99067  53.6%  40.9  725s
 410388 223560  188.77933   48   12  196.00039   91.07281  53.5%  40.9  730s
 413170 224942  187.65673   53   17  196.00039   91.13981  53.5%  40.9  735s
 415990 226360  186.36420   43   24  196.00039   91.20539  53.5%  40.9  740s
 418646 227691  147.59111   45   13  196.00039   91.29047  53.4%  41.0  745s
 421448 229137  170.48381   59   12  196.00039   91.36328  53.4%  41.0  750s
 424189 230469  143.64692   62   10  196.00039   91.45136  53.3%  41.0  755s
 427062 231811  120.08142   51   21  196.00039   91.53232  53.3%  41.0  760s
 429853 233220  155.25301   43   33  196.00039   91.59569  53.3%  41.0  765s
 432523 234558  125.68343   37   18  196.00039   91.65956  53.2%  41.1  770s
 435713 236251  178.77076   65   12  196.00039   91.71917  53.2%  41.1  775s
 438178 237500  183.98705   31   32  196.00039   91.80004  53.2%  41.1  780s
 441332 239193  161.05674   51   26  196.00039   91.88715  53.1%  41.1  785s
 443988 240472  107.83392   50   21  196.00039   91.97113  53.1%  41.1  790s
 446782 241876  167.74267   36   35  196.00039   92.03948  53.0%  41.1  795s
 449393 242954  144.78600   49    9  196.00039   92.12474  53.0%  41.2  800s
 452417 244700  125.62857   40   29  196.00039   92.19346  53.0%  41.2  805s
 455115 246018  166.62895   36   27  196.00039   92.27639  52.9%  41.2  810s
 457894 247322  187.52394   62   11  196.00039   92.33991  52.9%  41.2  815s
 460967 248945  161.54744   58   18  196.00039   92.41454  52.8%  41.2  820s
 463696 250272  111.39383   40   24  196.00039   92.46731  52.8%  41.2  825s
 466471 251620  163.21728   50   17  196.00039   92.56429  52.8%  41.2  830s
 469456 253128  128.31802   46   16  196.00039   92.62489  52.7%  41.2  835s
 472121 254320  179.94418   31   35  196.00039   92.70434  52.7%  41.2  840s
 474937 255632  191.80692   49   13  196.00039   92.78760  52.7%  41.3  845s
 477611 256944  195.39210   47   23  196.00039   92.86321  52.6%  41.3  850s
 480323 258302  173.87396   41   23  196.00039   92.92457  52.6%  41.3  855s
 482988 259317  134.60538   47   20  196.00039   93.00032  52.6%  41.3  860s
 485842 260694     cutoff   28       196.00039   93.07161  52.5%  41.3  865s
 488742 262167  188.25194   36   22  196.00039   93.14369  52.5%  41.3  870s
 491487 263575  190.17439   36   26  196.00039   93.22812  52.4%  41.4  875s
 494093 264778  102.85609   42   30  196.00039   93.30967  52.4%  41.4  880s
 496650 265853  168.21669   45   30  196.00039   93.38437  52.4%  41.4  885s
 499369 267129  122.99915   52   23  196.00039   93.46195  52.3%  41.4  890s
 502350 268553  177.83760   48   31  196.00039   93.52528  52.3%  41.4  895s
 505070 269921  171.60664   48   15  196.00039   93.60747  52.2%  41.4  900s
 507954 271312  177.14362   53   13  196.00039   93.66739  52.2%  41.4  905s
 510562 272509  149.06159   54   17  196.00039   93.73431  52.2%  41.5  910s
 513403 273895  117.39761   39   25  196.00039   93.80927  52.1%  41.5  915s
 516199 275276  194.64231   38   23  196.00039   93.86938  52.1%  41.5  920s
 518574 276271  179.52356   34   28  196.00039   93.93731  52.1%  41.5  925s
 521391 277496  179.27852   58   18  196.00039   94.01703  52.0%  41.5  930s
 524362 278996  152.75083   63   10  196.00039   94.08702  52.0%  41.5  935s
 527195 280602  195.47375   54   15  196.00039   94.13881  52.0%  41.5  940s
 529958 281970  171.06451   59   18  196.00039   94.19408  51.9%  41.5  945s
 532844 283172     cutoff   58       196.00039   94.28560  51.9%  41.6  950s
 535721 284696  162.42722   34   28  196.00039   94.34160  51.9%  41.6  955s
 538523 286116  194.63856   55   14  196.00039   94.40495  51.8%  41.6  960s
 541317 287647  138.63972   50   17  196.00039   94.45721  51.8%  41.6  965s
 544106 289029  130.01288   44   19  196.00039   94.53576  51.8%  41.6  970s
 546970 290439  136.97775   48   17  196.00039   94.59419  51.7%  41.6  975s
 549689 291799  115.64784   39   22  196.00039   94.63842  51.7%  41.6  980s
 552551 293223     cutoff   53       196.00039   94.68914  51.7%  41.6  985s
