Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10030 rows, 14880 columns and 173046 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 4996
Presolve removed 16 rows and 8 columns
Presolve time: 0.27s
Presolved: 10014 rows, 14872 columns, 98869 nonzeros
Variable types: 9900 continuous, 4972 integer (4970 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   14577    3.1149038e+01   6.212915e+02   0.000000e+00      5s
   29517    3.5000687e+01   1.592853e+00   0.000000e+00     10s
   29882    3.5009161e+01   0.000000e+00   0.000000e+00     10s

Root relaxation: objective 3.500916e+01, 29882 iterations, 9.96 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   197   111 1436.68306  153   97 3899.40000 1391.60000  64.3%  6555 1007s
   199   113 1435.00000  155  103 3899.40000 1391.60000  64.3%  6516 1010s
   202   115 1435.54764  157   93 3899.40000 1391.60000  64.3%  6484 1017s
   203   115 1435.19605  157   96 3899.40000 1391.60000  64.3%  6493 1021s
   205   116 1436.11185  159   93 3899.40000 1391.60000  64.3%  6513 1031s
   206   116 1436.43905  159   93 3899.40000 1391.60000  64.3%  6553 1039s
   208   118 1436.40000  161   99 3899.40000 1391.60000  64.3%  6525 1044s
   209   118 1436.70986  162   93 3899.40000 1391.60000  64.3%  6528 1048s
   210   118 1436.64582  162   92 3899.40000 1391.60000  64.3%  6538 1052s
   212   120 1437.10000  164  100 3899.40000 1391.60000  64.3%  6514 1058s
   213   120 1439.47638  164   92 3899.40000 1391.60000  64.3%  6531 1061s
   214   120 1437.15186  165   95 3899.40000 1391.60000  64.3%  6535 1065s
   216   122 1437.80000  167  103 3899.40000 1391.60000  64.3%  6499 1071s
   219   125 1437.80000  170   99 3899.40000 1391.60000  64.3%  6451 1076s
   222   126 1438.74601  172   90 3899.40000 1391.60000  64.3%  6413 1081s
   224   128 1438.50000  174  102 3899.40000 1391.60000  64.3%  6382 1085s
   225   128 1440.25759  174   92 3899.40000 1391.60000  64.3%  6428 1092s
   227   130 1438.50000  176  107 3899.40000 1391.60000  64.3%  6391 1095s
   230   132 1438.56338  179   94 3899.40000 1391.60000  64.3%  6353 1100s
