Instâncias,Correlated,,,,,,,,,,Anticorrelated,,,,,,,,,
,Exato,,M-SA,,,,T-SA,,,,Exato,,M-SA,,,,T-SA,,,
300.3,17002.00,99.97 %,4.53,9.06,586.55,-96.55,5.42,5.73,578.80,-96.60,13063.20,84.98 %,7.29,9.17,10738.60,-17.80,5.67,6.01,10719.00,-17.95
400.1,20091.00,—,4.48,11.62,5244.60,-73.90,7.72,9.15,5216.55,-74.04,21561.00,—,7.04,11.54,6706.00,-68.90,8.15,9.40,6639.70,-69.21
400.2,19732.00,—,8.33,11.52,2575.60,-86.95,7.94,9.02,2545.50,-87.10,19764.00,—,10.04,11.62,5352.20,-72.92,8.51,9.36,5334.90,-73.01
400.3,20086.00,—,4.18,11.65,1609.00,-91.99,7.72,8.93,1600.00,-92.03,20227.00,—,10.83,11.49,18695.00,-7.57,7.44,9.96,18718.20,-7.46
500.1,24685.60,—,9.64,15.43,2476.10,-89.97,12.74,13.68,2459.90,-90.04,24263.80,—,13.05,15.32,8085.30,-66.68,12.80,13.82,8065.80,-66.76
500.2,25011.40,—,8.57,15.45,5001.80,-80.00,11.80,13.48,4987.00,-80.06,24838.50,—,11.82,15.37,9700.40,-60.95,12.65,13.88,9610.80,-61.31
500.3,23584.80,—,9.94,15.66,1525.40,-93.53,12.09,13.39,1505.60,-93.62,24523.80,—,10.22,15.66,8977.50,-63.39,13.02,13.68,8965.70,-63.44
600.1,30276.00,—,6.32,19.79,7119.50,-76.48,15.89,18.62,7082.65,-76.61,30654.00,—,15.67,19.38,7493.00,-75.56,16.90,18.97,7490.95,-75.56
600.2,31805.00,—,7.13,19.78,5808.40,-81.74,17.14,18.49,5786.40,-81.81,30175.00,—,12.73,19.81,7840.80,-74.02,17.53,19.07,7833.30,-74.04
600.3,30253.00,—,7.41,19.83,2188.00,-92.77,16.35,18.47,2176.80,-92.80,29997.00,—,16.67,19.54,10740.70,-64.19,17.94,18.88,10727.90,-64.24
700.1,35860.00,—,19.25,23.31,3241.30,-90.96,22.94,24.59,3226.60,-91.00,36172.00,—,14.79,23.23,17442.40,-51.78,22.84,24.98,17117.10,-52.68
700.2,35139.00,—,21.14,23.09,3100.00,-91.18,23.08,24.20,3086.60,-91.22,35499.00,—,20.45,22.92,13352.20,-62.39,23.69,24.87,13293.00,-62.55
700.3,34544.00,—,10.09,23.75,1989.40,-94.24,21.43,24.06,1967.60,-94.30,35372.00,—,18.40,23.32,24712.00,-30.14,24.12,24.95,24702.80,-30.16
800.1,—,—,24.47,27.07,8324.10,—,27.35,31.03,8265.20,—,—,—,18.11,28.25,9640.40,—,27.43,31.49,9631.55,—
800.2,—,—,23.35,27.59,3489.80,—,29.78,31.07,3465.40,—,—,—,26.06,27.00,31221.50,—,28.18,32.41,30066.40,—
800.3,—,—,24.31,27.83,2546.75,—,25.98,30.89,2513.25,—,—,—,21.92,28.33,28313.60,—,28.57,31.71,28216.70,—
900.1,—,—,16.78,32.51,10646.80,—,31.06,37.95,10592.10,—,—,—,29.64,31.53,13753.60,—,35.63,38.69,13756.50,—
900.2,—,—,20.50,32.01,7412.85,—,34.11,37.81,7375.85,—,—,—,29.74,31.93,22130.00,—,34.80,38.85,22030.40,—
900.3,—,—,23.40,32.85,2474.10,—,34.86,37.59,2450.30,—,—,—,25.25,33.27,31666.60,—,36.98,38.87,31655.70,—
1000.1,—,—,33.15,36.48,6155.50,—,43.17,46.26,6144.30,—,—,—,34.61,36.29,11862.00,—,43.45,46.91,11843.90,—
1000.2,—,—,34.55,35.99,5241.50,—,43.16,45.77,5175.40,—,—,—,31.49,36.80,35616.90,—,43.64,46.96,34874.90,—
1000.3,—,—,27.01,38.40,3346.40,—,40.67,45.95,3332.80,—,—,—,35.02,36.83,47572.20,—,31.54,48.19,47184.60,—
